,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
0,Open,https://www.crunchbase.com/organization/open-5,"Banking, Financial Services, FinTech, SaaS, Small and Medium Businesses","Bangalore, Karnataka, India",Open is a neo-banking platform for SMEs and startups that enables businesses to manage their finances effectively.,2017,01/05/2017,https://open.money,12.966180000000065,77.58690000000007
1,Rapido,https://www.crunchbase.com/organization/rapido,"Information Services, Logistics, Mobile Apps, Taxi Service, Transportation","Bangalore, Karnataka, India",Rapido is an online app and logistics provider that offers bike taxis to its users.,2015,01/01/2015,https://www.rapido.bike,12.966180000000065,77.58690000000007
2,Ather Energy,https://www.crunchbase.com/organization/ather-energy,"Automotive, Clean Energy, Electric Vehicle, Manufacturing","Bangalore, Karnataka, India",Ather Energy operates as a manufacturer of electric scooters.,2013,01/01/2013,http://www.atherenergy.com,12.984380000000044,77.74203000000006
3,PhableCare,https://www.crunchbase.com/organization/phable,"Health Care, Mobile Apps, Personal Health, Wellness","Bangalore, Karnataka, India",PhableCare creates an ecosystem of health care providers to manage chronic diseases.,2017,10/10/2017,https://phablecare.com,12.966180000000065,77.58690000000007
4,Vedantu,https://www.crunchbase.com/organization/vedantu-innovations,"E-Learning, EdTech, Education, Tutoring","Bangalore, Karnataka, India",Vedantu is an interactive online tutoring platform for students.,2011,29/10/2011,http://www.vedantu.com/,12.919700000000034,77.67112000000003
5,Toplyne,https://www.crunchbase.com/organization/toplyne,"Business Intelligence, SaaS, Sales, Subscription Service","Bangalore, Karnataka, India",Toplyne is a SaaS platform that helps businesses and companies to monetize their product-led growth flywheel.,2021,01/06/2021,https://www.toplyne.io,12.935510000000022,77.58144000000004
6,Ayu Health,https://www.crunchbase.com/organization/ayu-health,"Health Care, Hospital, Medical","Bangalore, Karnataka, India",Ayu Health is a network of hospitals that offers quality healthcare to the general public.,2019,01/01/2019,https://ayu.health/,12.966180000000065,77.58690000000007
7,ITILITE,https://www.crunchbase.com/organization/itilite,"Business Travel, Information Technology, Internet, Travel","Bangalore, Karnataka, India",ITILITE is a digital travel management platform that simplifies the travel booking process.,2017,01/01/2017,http://www.itilite.com/,12.966180000000065,77.58690000000007
8,Bounce,https://www.crunchbase.com/organization/metro-bikes,"Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing","Bangalore, Karnataka, India",Bounce develops and provides a smart mobility solution that makes daily commute time-saving and stress-free.,2014,01/01/2014,https://bounceshare.com,12.937910000000045,77.62379000000004
9,Porter,https://www.crunchbase.com/organization/the-porter,"Fleet Management, Internet, Last Mile Transportation, Logistics","Bangalore, Karnataka, India",Porter is an end-to-end logistics platform designed to help businesses optimize their last-mile delivery operations.,2014,01/08/2014,https://porter.in,12.957880000000046,77.57755000000003
10,ZestMoney,https://www.crunchbase.com/organization/zestmoney,"Big Data, Consumer Lending, Financial Services, FinTech","Bangalore, Karnataka, India",ZestMoney is a fintech company that uses digital EMI without the need for a credit card or a credit score.,2015,01/01/2015,https://www.zestmoney.in/,12.933070000000043,77.58270000000005
11,Practo,https://www.crunchbase.com/organization/practo,"Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness","Bangalore, Karnataka, India","Practo is an mhealth platform that connects patients with healthcare providers through booking appointments, check-ups, and consultations.",2008,01/01/2008,https://www.practo.com/,12.83654000000007,77.69835000000006
12,Chingari,https://www.crunchbase.com/organization/chingari,"Apps, Media and Entertainment, Mobile, Social, Video","Bangalore, Karnataka, India",Chingari is a short-video sharing mobile app.,2018,01/11/2018,https://chingari.io/,12.966180000000065,77.58690000000007
13,slice,https://www.crunchbase.com/organization/slicepay,"Banking, Financial Services, FinTech, Lending, Payments","Bangalore, Karnataka, India","Slice is a fintech company based in India to pay bills, manage expenses, and unlock instant rewards.",2016,01/01/2016,https://sliceit.com,12.909460000000024,77.56520000000006
14,Dukaan®,https://www.crunchbase.com/organization/dukaan,DIY,"Bangalore, Karnataka, India",Dukaan is a DIY platform which enables merchants with zero programming skills to set up their e-commerce store using smartphone.,2019,01/01/2019,https://mydukaan.io/,12.966180000000065,77.58690000000007
15,YourStory,https://www.crunchbase.com/organization/yourstory-media-pvt-ltd,"Information Technology, Internet, News, Public Relations, Publishing","Bangalore, Karnataka, India",YourStory.com is a media platform that covers the startup ecosystem in India.,2008,01/10/2008,http://yourstory.com/,12.98231000000004,77.64005000000003
16,Trell,https://www.crunchbase.com/organization/trell,"E-Commerce, E-Commerce Platforms, Lifestyle, Social Network, Video","Bangalore City, Karnataka, India",Trell is a lifestyle social commerce platform where users share 3-minute videos showing their interests.,2016,01/01/2016,https://trell.co,12.92915000000005,77.56476000000004
17,Instoried,https://www.crunchbase.com/organization/instoried,"Information Technology, Software","Bangalore, Karnataka, India",Instoried is an augmented writing platform that assesses interactions and levels of interest in content.,2018,01/01/2018,https://www.instoried.com/,12.966180000000065,77.58690000000007
18,Meesho,https://www.crunchbase.com/organization/meesho,"E-Commerce Platforms, Mobile Apps, Retail, Social Media","Bangalore, Karnataka, India",Meesho operates as an online reselling platform that enables anyone to start a business without investment.,2015,01/01/2015,http://www.meesho.com,12.966180000000065,77.58690000000007
19,Shadowfax,https://www.crunchbase.com/organization/shadowfax-technologies,"Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management","Bangalore, Karnataka, India",Shadowfax is an on-demand logistics network that provides tech-enabled one stop delivery solutions.,2015,01/01/2015,http://shadowfax.in/,12.947220000000073,77.59512000000007
20,Razorpay,https://www.crunchbase.com/organization/razorpay,"Finance, Financial Services, FinTech, Payments","Bangalore, Karnataka, India","Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2014,01/12/2014,https://razorpay.com/,12.93888000000004,77.60979000000003
21,Wakefit,https://www.crunchbase.com/organization/wakefit,"E-Commerce, Furniture, Manufacturing, Retail","Bangalore, Karnataka, India",Wakefit is a sleep and home solutions company that manufactures quality mattresses at affordable prices along other furniture.,2016,01/01/2016,http://wakefit.co/,12.933620000000076,77.61469000000005
22,HealthPlix,https://www.crunchbase.com/organization/healthplix,"Artificial Intelligence, Health Care, Wellness","Bangalore, Karnataka, India",HealthPlix provides a digital health platform in which medical clinics and offices can expand their care and retain patients.,2014,01/01/2014,https://healthplix.com/,12.966180000000065,77.58690000000007
23,Jumbotail,https://www.crunchbase.com/organization/jumbotail,"E-Commerce, Food and Beverage, Grocery, Marketplace, Retail","Bangalore, Karnataka, India",Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,2015,04/11/2015,http://www.jumbotail.com,12.988830000000064,77.57513000000006
24,Headfone,https://www.crunchbase.com/organization/headfone,"Audio, Audiobooks, Internet, Music, Podcast","Bangalore, Karnataka, India","Headfone is a social audio platform where you can record, listen and share audios.",2017,01/10/2017,https://www.headfone.co.in/,12.970240000000047,77.61029000000008
25,Simpl,https://www.crunchbase.com/organization/simpl-2,"E-Commerce, Financial Services, Lending, Payments","Bangalore, Karnataka, India",Simpl is a fintech company that offers a cardless payment network with multiple solutions for merchants and consumers.,2015,01/01/2015,https://getsimpl.com/,12.974920000000054,77.61916000000008
26,ZoomCar,https://www.crunchbase.com/organization/zoomcar-india,"Automotive, E-Commerce, Rental, Reservations, Transportation","Bangalore, Karnataka, India","ZoomCar is a self-drive-focused car rental company allowing individuals to rent vehicles by the hour, day, week, and month.",2012,01/01/2012,http://www.zoomcar.com,12.960350000000062,77.64351000000005
27,Animall,https://www.crunchbase.com/organization/animall-ab3b,"E-Commerce, Information Technology, Livestock","Bangalore, Karnataka, India",Animall is a platform for buying and selling dairy and cattle online.,2019,01/12/2019,https://www.animall.in/,12.966180000000065,77.58690000000007
28,Quizizz,https://www.crunchbase.com/organization/quizizz,"E-Learning, Education, Gamification, Skill Assessment, Software, Training","Bangalore, Karnataka, India",Quizizz is an education-based platform that offers engaging gamified quizzes and interactive lessons to any learner.,2015,01/01/2015,https://quizizz.com,12.966180000000065,77.58690000000007
29,MyShubhLife,https://www.crunchbase.com/organization/myshubhlife,"Financial Services, FinTech, Lending","Bangalore, Karnataka, India",MyShubhLife helps financial service providers to access and serve new and underserved market segments.,2016,01/01/2016,https://www.myshubhlife.com,12.966180000000065,77.58690000000007
30,HomeLane,https://www.crunchbase.com/organization/homelane,"Furniture, Home Decor, Home Improvement, Interior Design","Bangalore, Karnataka, India",HomeLane is a home interior company that provides homeowners with personalized and customized home designs.,2014,01/01/2014,http://www.homelane.com,13.067260000000033,77.59287000000006
31,NiYO Solutions,https://www.crunchbase.com/organization/niyo-solutions,"Finance, Financial Services, FinTech","Bangalore, Karnataka, India",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2015,01/01/2015,http://goniyo.com/,12.969440000000077,77.53462000000007
32,Medfin India,https://www.crunchbase.com/organization/medfin-india,"Health Care, Health Diagnostics, Health Insurance, Medical","Bangalore, Karnataka, India",Medfin is a discovery platform for medical processes and financing that helps patients to access surgical treatment procedures.,2017,01/01/2017,https://www.medfin.in/,12.97571000000005,77.64681000000007
33,Money View,https://www.crunchbase.com/organization/money-view,"Finance, Financial Services, FinTech, Lending, Personal Finance","Bangalore, Karnataka, India",Money View provides a credit platform that offers loans and financial management tools.,2014,01/04/2014,https://moneyview.in,12.966180000000065,77.58690000000007
34,smallcase,https://www.crunchbase.com/organization/smallcase,"Financial Services, Stock Exchanges, Wealth Management","Bangalore, Karnataka, India",smallcase is a wealth management startup that focuses on equitable investing in India.,2015,01/01/2015,https://www.smallcase.com/,12.966180000000065,77.58690000000007
35,BigHaat,https://www.crunchbase.com/organization/bighaat,"Agriculture, AgTech, E-Commerce, Farming, Retail","Bangalore, Karnataka, India",BigHaat is an agriculture e-commerce startup focusing on providing quality Agri - inputs and information.,2015,01/01/2015,http://www.bighaat.com/,12.966180000000065,77.58690000000007
36,CynLr,https://www.crunchbase.com/organization/cynlr,"Artificial Intelligence, Computer Vision, Robotics","Bangalore, Karnataka, India",CynLr is a visual object intelligence platform.,2019,25/08/2019,http://www.cynlr.com,12.966180000000065,77.58690000000007
37,Scripbox,https://www.crunchbase.com/organization/scripbox,"Angel Investment, Finance, Financial Services, FinTech, Wealth Management","Bangalore, Karnataka, India",Scripbox is an online mutual funds investment platform.,2012,01/01/2012,https://scripbox.com/,12.966180000000065,77.58690000000007
38,Zolo,https://www.crunchbase.com/organization/zolostays,"Android, Mobile, Real Estate, Rental, Rental Property, Service Industry, Social Media","Bangalore, Karnataka, India",Zolo is a one-stop destination for individuals looking for shared accommodation options.,2015,03/06/2015,http://zolostays.com,12.932620000000043,77.61055000000005
39,YouKraft,https://www.crunchbase.com/organization/youkraft,"E-Commerce, Internet, Marketplace, Publishing","Bangalore, Karnataka, India",YouKraft is an e-commerce marketplace for all things interior.,2020,01/01/2020,https://www.youkraft.com/,12.922240000000045,77.60137000000003
40,Locus.sh,https://www.crunchbase.com/organization/locus-sh,"Big Data, Data Visualization, Logistics, Software, Supply Chain Management","Bangalore, Karnataka, India",Locus is an intelligent decision-making and automation platform for logistics.,2015,01/05/2015,http://www.locus.sh,12.925520000000063,77.63677000000007
41,Jar,https://www.crunchbase.com/organization/jar-09f5,"Apps, FinTech","Bangalore, Karnataka, India",Jar is a fintech app that allows users to save money and invest in digital gold.,2021,23/01/2021,https://myjar.app,12.966180000000065,77.58690000000007
42,Sprinto,https://www.crunchbase.com/organization/sprinto,"Computer, Information Technology, Software","Bangalore, Karnataka, India",Sprinto develops a compliance automation platform to make enterprise-grade security accessible.,2020,01/01/2020,https://www.sprinto.com/,12.970850000000041,77.57294000000007
43,Expertia.AI,https://www.crunchbase.com/organization/expertia,"Artificial Intelligence, Human Resources, Machine Learning, Natural Language Processing","Bangalore, Karnataka, India","Expertia is a platform that provides Deep Learning, Natural language processing (NLP) and Explainable AI to predict the right candidate.",2020,01/12/2020,https://www.expertia.ai,12.966180000000065,77.58690000000007
44,Arzooo.com,https://www.crunchbase.com/organization/arzooo-com,"Consumer Electronics, E-Commerce, Electronics, Retail, Retail Technology, Shopping","Bangalore, Karnataka, India","India's largest retail tech platform in consumer durables segment transforming 300,000+ SMEs with its flagship ""Go Store"" product",2018,01/10/2018,https://arzooo.com,12.90963000000005,77.65185000000008
45,Karbon Card,https://www.crunchbase.com/organization/karbon-card,"Credit Cards, Financial Services, FinTech","Bangalore, Karnataka, India",Karbon Card is a financial platform that provides interest-free karbon corporate credit cards for Indian entrepreneurs.,2019,01/01/2019,https://www.karboncard.com/,12.966180000000065,77.58690000000007
46,Goodera,https://www.crunchbase.com/organization/goodera,"Computer, Events, Software, Sustainability","Bangalore, Karnataka, India","Goodera, which helps companies manage their corporate social responsibility (CSR) programmes through its technology platform",2014,01/01/2014,https://goodera.com/,12.966180000000065,77.58690000000007
47,AppsForBharat,https://www.crunchbase.com/organization/appsforbharat,"Apps, Information Technology, Internet, Software","Bangalore, Karnataka, India",AppsForBharat develops a range of mobile apps for the spiritual and devotional needs of Indian users.,2020,01/01/2020,https://appsforbharat.com/,12.966180000000065,77.58690000000007
48,Propelld,https://www.crunchbase.com/organization/propelld,"EdTech, Education, Financial Services, FinTech","Bangalore, Karnataka, India",Propelld is an education-focused fintech platform used by students to get access to funding for completing education.,2017,01/01/2017,https://propelld.com/,12.909150000000068,77.63801000000007
49,SatSure,https://www.crunchbase.com/organization/satsure-d0b9,"Analytics, Artificial Intelligence, Machine Learning","Bangalore, Karnataka, India",SatSure is an innovative decision analytics company.,2017,01/01/2017,https://satsure.co,12.966180000000065,77.58690000000007
50,KrazyBee,https://www.crunchbase.com/organization/krazybee,E-Commerce,"Bangalore, Karnataka, India","KrazyBee is an India-based e-commerce web app, enabling its users to order products from online retailers on different pay schemes.",2016,15/03/2016,https://www.kbnbfc.in/,12.966180000000065,77.58690000000007
51,CoinSwitch Kuber,https://www.crunchbase.com/organization/coinswitch,"Cryptocurrency, Financial Services, FinTech, Trading Platform","Bangalore, Karnataka, India",CoinSwitch Kuber is a cryptocurrency exchange platform allowing its users to buy and sell cryptocurrencies.,2017,14/06/2017,https://www.coinswitch.co,12.966180000000065,77.58690000000007
52,Skit,https://www.crunchbase.com/organization/vernacular-ai,"Artificial Intelligence, Call Center, Customer Service, Internet, Internet of Things, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition","Bangalore, Karnataka, India",Augmented Voice Intelligence Platform that helps businesses modernize their contact centers and CX.,2016,04/10/2016,https://skit.ai,12.966180000000065,77.58690000000007
53,Exotel,https://www.crunchbase.com/organization/exotel,"Cloud Data Services, CRM, Messaging, Mobile Apps, SaaS, Software, Speech Recognition, Video Chat","Bangalore, Karnataka, India","Exotel is a SaaS company with full stack customer engagement, including contact center software, communications API, and conversational AI.",2011,01/01/2011,https://exotel.com,12.966180000000065,77.58690000000007
54,Avataar,https://www.crunchbase.com/organization/avataar-me,"3D Technology, Artificial Intelligence, Augmented Reality, E-Commerce, Virtual Reality","Bangalore, Karnataka, India","Avataar is shaping consumers' online buying behaviour through immersive, interactive life-size 3D models and augmented reality",2016,01/01/2016,http://avataar.me,12.966180000000065,77.58690000000007
55,Unacademy,https://www.crunchbase.com/organization/unacademy,"E-Learning, EdTech, Education, Training","Bangalore, Karnataka, India",Unacademy is an online learning platform that provides educational content such as video lectures and examinations.,2015,01/01/2015,https://unacademy.com/,12.95237000000003,77.64055000000008
56,Innoviti,https://www.crunchbase.com/organization/innoviti,"Financial Services, FinTech, Payments, Software","Bangalore, Karnataka, India","Innoviti develops payment processing, credit distribution, and payment management software solutions.",2002,01/12/2002,https://innoviti.com,12.971080000000029,77.63104000000004
57,Teamonk,https://www.crunchbase.com/organization/teamonk-global,"E-Commerce, Food and Beverage","Bangalore, Karnataka, India",Teamonk is an India's Finest Specialty Tea company.,2016,01/07/2016,https://teamonkglobal.com/,12.966180000000065,77.58690000000007
58,Perfios Software Solutions,https://www.crunchbase.com/organization/perfios-software-solutions-pvt-ltd,"Financial Services, FinTech, Personal Finance, Software","Bangalore, Karnataka, India","Perfios Software Solutions allows end-users to track, monitor, and manage personal finance with little manual intervention.",2007,07/11/2007,http://www.perfios.com,12.934970000000021,77.61499000000003
59,FeedMyPockets,https://www.crunchbase.com/organization/feedmypockets,"Human Resources, Recruiting, Staffing Agency","Bangalore City, Karnataka, India",India's Leading Gig Economy Marketplace | Task Fulfillment Platform,2018,01/05/2018,http://www.feedmypockets.com,12.927080000000046,77.68928000000005
60,Fisdom,https://www.crunchbase.com/organization/fisdom,"Advice, Apps, Finance, Financial Services, FinTech","Bangalore, Karnataka, India",Fisdom is a fintech company that offers investment advisory services through an application.,2015,01/01/2015,https://www.fisdom.com,12.966180000000065,77.58690000000007
61,Wysa,https://www.crunchbase.com/organization/touchkin-eservices,"Artificial Intelligence, Fitness, Health Care, Medical Device, mHealth","Bangalore, Karnataka, India",Wysa provides a mental health wellness platform to manage stress from health anxiety behavior of employees and patients.,2015,01/01/2015,https://www.wysa.io/,12.966180000000065,77.58690000000007
62,Healofy,https://www.crunchbase.com/organization/healofy,"Child Care, E-Commerce, Internet, Parenting, Social Network","Bangalore, Karnataka, India",Healofy is an Indian parenting social network that provides pregnancy and childcare products.,2016,01/08/2016,https://healofy.com/,12.966180000000065,77.58690000000007
63,Smartcoin,https://www.crunchbase.com/organization/smartcoin,"Big Data, Financial Services, FinTech, Machine Learning, Predictive Analytics","Bangalore, Karnataka, India",Smartcoin is providing financial access to the millions of mobile users in India using alternative credit assessment.,2015,23/11/2015,http://smartcoin.co.in,12.972330000000056,77.64969000000008
64,Quikr,https://www.crunchbase.com/organization/quikr-india,"Advertising, Classifieds, E-Commerce, Internet, Marketplace, Rental Property","Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users to sell, buy, rent, or discover anything across India.",2008,12/01/2008,http://www.quikr.com,12.966180000000065,77.58690000000007
65,Yulu,https://www.crunchbase.com/organization/yulu,"Electric Vehicle, Ride Sharing, Sharing Economy, Transportation","Bangalore, Karnataka, India",Yulu is a micro-mobility platform powered by shared electric two-wheelers aiming to reduce traffic congestion and air pollution in India.,2017,07/08/2017,http://www.yulu.bike,12.966180000000065,77.58690000000007
66,Supertails,https://www.crunchbase.com/organization/supertails,"Consumer, Health Care, Pet","Bangalore, Karnataka, India",Supertails is a first-of-its-kind platform that supports the ever-increasing pet parent community.,2021,01/01/2021,https://supertails.com/,12.956980000000044,77.58130000000006
67,Increff,https://www.crunchbase.com/organization/increff,"Computer, Fashion, Lifestyle, Supply Chain Management","Bangalore, Karnataka, India",Increff is a Data & Technology Company helping fashion & lifestyle brands and retailers improve inventory turns through IRIS and ASSURE.,2016,01/01/2016,http://www.increff.com/,12.966180000000065,77.58690000000007
68,Living Food,https://www.crunchbase.com/organization/living-food-company,"Consumer Goods, E-Commerce, Farming, Food and Beverage, Marketplace","Bangalore, Karnataka, India",Living Food is a marketplace platform that offers access to locally sourced fresh produce.,2018,01/01/2018,https://livingfood.co,12.790340000000072,77.75167000000005
69,Ultraviolette Automotive,https://www.crunchbase.com/organization/ultraviolette-automotive-pvt-ltd,"Automotive, Electric Vehicle, Energy, Energy Storage","Bangalore, Karnataka, India",Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2014,01/12/2014,http://www.ultraviolette.com/,12.953990000000033,77.64108000000004
70,Oben EV,https://www.crunchbase.com/organization/oben-ev,"Automotive, Electric Vehicle, Manufacturing, Sustainability, Transportation","Bangalore, Karnataka, India",Oben EV is a company that focuses on developing electric vehicle transportation solutions.,2020,01/01/2020,https://www.obenev.com/,12.966180000000065,77.58690000000007
71,DocsApp,https://www.crunchbase.com/organization/docsapp-chat-with-a-doctor-now,"Health Care, Medical, Mobile Apps, Wellness","Bangalore, Karnataka, India",DocsApp is an online doctor consultation platform that provides consultation for patients of all age groups in several key disciplines.,2015,01/01/2015,https://www.docsapp.in,12.966180000000065,77.58690000000007
72,KredX,https://www.crunchbase.com/organization/kredxindia,"Finance, Financial Services, FinTech, Lending, Marketplace","Bangalore, Karnataka, India",KredX is an online invoice discounting platform where business owners get an opportunity to raise funds for their working capital needs.,2015,13/09/2015,https://www.kredx.com/,12.979620000000068,77.58526000000006
73,BetterPlace Safety Solutions,https://www.crunchbase.com/organization/betterplace-safety-solutions-pvt-ltd,"Consulting, Human Resources, Recruiting, Security, Training","Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",2015,01/01/2015,https://betterplace.co.in,12.778630000000021,77.77015000000006
74,GreytHR,https://www.crunchbase.com/organization/greytip-software,"Human Resources, SaaS, Software","Bangalore, Karnataka, India","GreytHR helps to automate Payroll, Employee data management, Leave , Attendance, Expense claims, Document management and more.",1994,01/01/1994,https://www.greythr.com,12.966180000000065,77.58690000000007
75,Play Shifu,https://www.crunchbase.com/organization/play-shifu,"Augmented Reality, Education, Media and Entertainment, STEM Education, Toys","Bangalore, Karnataka, India",PlayShifu is an EdTech startup that offers teaching and learning tools for children 4 to 12 years of age.,2016,01/01/2016,https://www.playshifu.com,13.034260000000074,77.55801000000008
76,Salesken,https://www.crunchbase.com/organization/salesken,"Artificial Intelligence, Machine Learning, Productivity Tools, Sales Automation, Software","Bangalore, Karnataka, India",Salesken is a conversational intelligence platform that gives insight into customer-salesperson interactions.,2018,01/01/2018,https://salesken.ai,12.966180000000065,77.58690000000007
77,Smiles.ai,https://www.crunchbase.com/organization/smiles-ai,"Artificial Intelligence, Dental, Health Care","Bangalore, Karnataka, India",Smiles.ai leverages technology and healthcare professionals to provide high-quality and cost-effective dental care products and services.,2019,01/01/2019,https://smiles.ai/,12.98658000000006,77.59818000000007
78,Vegrow,https://www.crunchbase.com/organization/vegrow,"Agriculture, AgTech, Farming","Bangalore, Karnataka, India","Vegrow is a tech platform partnering with farmers, aggregating supply and selling to organized demand through partnership.",2020,01/01/2020,https://www.vegrow.in/,12.966180000000065,77.58690000000007
79,10club,https://www.crunchbase.com/organization/10club,"Consumer Goods, E-Commerce","Bangalore, Karnataka, India","10club acquires, operates, and grows e-commerce businesses.",2021,01/01/2021,https://10club.team/,12.966180000000065,77.58690000000007
80,StockGro,https://www.crunchbase.com/organization/stockgro,"Apps, Financial Services, Trading Platform","Bangalore, Karnataka, India",StockGro is a Bengaluru-based social investment startup.,2020,01/01/2020,https://www.stockgro.club/,12.966180000000065,77.58690000000007
81,WeRize,https://www.crunchbase.com/organization/werize,"Banking, Credit Cards, Financial Services, FinTech, InsurTech, Lending, Personal Finance","Bangalore, Karnataka, India",India’s first socially distributed full stack financial services platform for small town India,2019,10/01/2019,https://www.werize.com/,12.966180000000065,77.58690000000007
82,Udaan,https://www.crunchbase.com/organization/udaan,"B2B, E-Commerce, Internet, Retail","Bangalore, Karnataka, India","Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform.",2016,01/01/2016,https://udaan.com,12.920040000000029,77.64501000000007
83,Flam,https://www.crunchbase.com/organization/homingos,"Augmented Reality, Social Network","Bangalore, Karnataka, India",Flam is an Augmented reality (AR)-based social networking platform.,2018,01/01/2018,https://flamapp.com/,12.966180000000065,77.58690000000007
84,MoneyTap,https://www.crunchbase.com/organization/moneytap-2,"Apps, Credit Cards, Financial Services, FinTech, Lending","Bangalore, Karnataka, India","MoneyTap is an app-based credit line that provides small to medium sized cash loans, quick credit on mobile, and affordable interest rates.",2015,01/01/2015,https://www.moneytap.com/,12.966180000000065,77.58690000000007
85,Flatheads,https://www.crunchbase.com/organization/flatheads,"E-Commerce, Fashion, Retail, Shoes, Shopping","Bangalore, Karnataka, India",Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,2019,19/11/2019,https://www.flatheads.in/,12.966180000000065,77.58690000000007
86,Uolo Technology,https://www.crunchbase.com/organization/uolo-technology,"EdTech, Education, Information Technology","Bangalore, Karnataka, India",Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2013,01/01/2013,http://www.theuolo.com,12.954920000000072,77.71740000000005
87,Wealthy,https://www.crunchbase.com/organization/wealthy,"Financial Services, FinTech, Mobile Apps","Bangalore, Karnataka, India",Wealthy is a financial services platform that is leveraging technology to build superior financial advice and transaction capabilities.,2015,01/01/2015,https://www.wealthy.in,12.966180000000065,77.58690000000007
88,Yogabars,https://www.crunchbase.com/organization/yoga-health-foods,"Fitness, Health Care, Wellness","Bangalore, Karnataka, India",Yogabars is a food company that sells and manufactures protein and fiber-rich bars.,2014,01/01/2014,http://www.yogabars.in/,12.988150000000076,77.57981000000007
89,Stelis Biopharma,https://www.crunchbase.com/organization/stelis-biopharma,"Biopharma, Biotechnology, Life Science, Therapeutics","Bangalore, Karnataka, India",Stelis Biopharma is a biopharmaceutical company that delivers affordable treatments to patients in both emerging and developed markets.,2013,01/01/2013,https://stelisbiosource.com,12.966180000000065,77.58690000000007
90,Stoa School,https://www.crunchbase.com/organization/stoa-school,"E-Learning, Education","Bangalore, Karnataka, India",India's best alternative to the traditional MBA,2020,02/10/2020,http://stoaschool.com,12.900807852147963,77.57470261835381
91,VerSe Innovation,https://www.crunchbase.com/organization/verse-innovations,"Content, Internet, Social Media","Bangalore, Karnataka, India",VerSe Innovation facilitates content curation and tracks user preferences through recommendation tools.,2007,01/01/2007,http://www.verse.in,12.966860000000054,77.68275000000006
92,Chumbak,https://www.crunchbase.com/organization/chumbak,"E-Commerce, Lifestyle, Shopping","Bangalore, Karnataka, India","Chumbak, a Bangalore, India-based gifting startup. Founded by Subhra Chadda, Chumbak sells designer t-shirts, tins, coffee mugs shot",2009,15/09/2009,https://www.chumbak.com/,12.991520000000037,77.57157000000007
93,Skylark Drones,https://www.crunchbase.com/organization/skylark-drones,"Aerospace, Drones, Infrastructure, Mapping Services, Solar","Bangalore, Karnataka, India","Skylark Drones is a drone platform company that uses drones to acquire data, analyze, and present it to enterprises.",2015,01/01/2015,http://skylarkdrones.com/,12.935640000000035,77.61305000000004
94,Orange Health,https://www.crunchbase.com/organization/orangehealth,"Emergency Medicine, Health Care, Health Diagnostics, Medical, Mobile Apps","Bangalore, Karnataka, India",Orange Health- India's fastest diagnostics lab,2020,01/01/2020,https://www.orangehealth.in/,13.014740000000074,77.52060000000006
95,Niro,https://www.crunchbase.com/organization/niro-25e4,"Financial Services, FinTech","Bangalore, Karnataka, India",Niro is embedding personal credit products into leading consumer internet platforms.,2021,01/01/2021,https://niro.money/,12.966180000000065,77.58690000000007
96,Printo,https://www.crunchbase.com/organization/printo,E-Commerce,"Bangalore, Karnataka, India","Printo offers customised visiting cards printing, brochures printing, business cards printing, personalized greeting cards.",2006,01/01/2006,http://www.printo.in/,12.969550000000027,77.60650000000004
97,HuddleUp,https://www.crunchbase.com/organization/huddleup,"Artificial Intelligence, Human Resources, SaaS","Bangalore, Karnataka, India",AI-driven culture platform that helps managers understand their team experiences in real-time & provides insights to prevent burnout,2021,26/01/2021,https://huddleup.ai,12.966180000000065,77.58690000000007
98,Cloudphysician,https://www.crunchbase.com/organization/cloudphysician,"Emergency Medicine, Health Care, Hospital, Information Technology, Medical","Bangalore, Karnataka, India",Cloudphysician provides a cloud-based health diagnosis platform that monitors health conditions of neonatal and emergency ward infants.,2017,01/01/2017,https://cloudphysician.net/,12.966180000000065,77.58690000000007
99,GoldenPi,https://www.crunchbase.com/organization/goldenpi,"Financial Services, FinTech","Bangalore, Karnataka, India",One stop shop for Bonds and Debentures exclusively.,2017,01/01/2017,https://www.goldenpi.com,12.966180000000065,77.58690000000007
100,Nira,https://www.crunchbase.com/organization/nira,"Credit, Financial Services, FinTech, Lending","Bangalore, Karnataka, India","Nira promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2017,01/01/2017,https://www.nirafinance.com/,12.966180000000065,77.58690000000007
