Column1,State,Area,Sex,Literacy Rate
01,JAMMU & KASHMIR,Rural,Male,72.71
02,HIMACHAL PRADESH,Rural,Male,86.55
03,PUNJAB,Rural,Male,71.94
04,CHANDIGARH #,Rural,Male,70.04
05,UTTARAKHAND,Rural,Male,65.56
06,HARYANA,Rural,Male,76
07,NCT OF DELHI #,Rural,Male,68.69
08,RAJASTHAN,Rural,Male,67.43
09,UTTAR PRADESH,Rural,Male,78.11
10,BIHAR,Rural,Male,76.04
11,SIKKIM,Rural,Male,80.72
12,ARUNACHAL PRADESH,Rural,Male,84.75
13,NAGALAND,Rural,Male,80.21
14,MANIPUR ,Rural,Male,88.55
15,MIZORAM,Rural,Male,89.18
16,TRIPURA,Rural,Male,79.36
17,MEGHALAYA,Rural,Male,67.56
18,ASSAM,Rural,Male,60.17
19,WEST BENGAL,Rural,Male,62.28
20,JHARKHAND,Rural,Male,73.67
21,ORISSA,Rural,Male,82.71
22,CHHATTISGARH,Rural,Male,74.48
23,MADHYA PRADESH,Rural,Male,64.71
24,GUJARAT,Rural,Male,71
25,DAMAN & DIU #,Rural,Male,78.6
26,DADRA & NAGAR HAVELI #,Rural,Male,70.14
27,MAHARASHTRA,Rural,Male,83.36
28,ANDHRA PRADESH,Rural,Male,64.96
29,KARNATAKA,Rural,Male,93.27
30,GOA,Rural,Male,75.18
31,LAKSHADWEEP #,Rural,Male,52.04
32,KERALA,Rural,Male,86.17
33,TAMIL NADU,Rural,Male,77.86
34,PUDUCHERRY #,Rural,Male,85.72
35,A & N ISLANDS #,Rural,Male,76.3
01,JAMMU & KASHMIR,Rural,Female,37.87
02,HIMACHAL PRADESH,Rural,Female,43.95
03,PUNJAB,Rural,Female,36.81
04,CHANDIGARH #,Rural,Female,26
05,UTTARAKHAND,Rural,Female,55.01
06,HARYANA,Rural,Female,52.43
07,NCT OF DELHI #,Rural,Female,49.22
08,RAJASTHAN,Rural,Female,43.23
09,UTTAR PRADESH,Rural,Female,53.67
10,BIHAR,Rural,Female,56.67
11,SIKKIM,Rural,Female,68.67
12,ARUNACHAL PRADESH,Rural,Female,39.15
13,NAGALAND,Rural,Female,52.64
14,MANIPUR ,Rural,Female,52.68
15,MIZORAM,Rural,Female,56.52
16,TRIPURA,Rural,Female,46.31
17,MEGHALAYA,Rural,Female,36.2
18,ASSAM,Rural,Female,56.05
19,WEST BENGAL,Rural,Female,38.78
20,JHARKHAND,Rural,Female,36.22
21,ORISSA,Rural,Female,53.63
22,CHHATTISGARH,Rural,Female,48.24
23,MADHYA PRADESH,Rural,Female,53.68
24,GUJARAT,Rural,Female,46.7
25,DAMAN & DIU #,Rural,Female,51.46
26,DADRA & NAGAR HAVELI #,Rural,Female,53.04
27,MAHARASHTRA,Rural,Female,40.88
28,ANDHRA PRADESH,Rural,Female,40.73
29,KARNATAKA,Rural,Female,39.69
30,GOA,Rural,Female,39.89
31,LAKSHADWEEP #,Rural,Female,55.59
32,KERALA,Rural,Female,44.86
33,TAMIL NADU,Rural,Female,35.72
34,PUDUCHERRY #,Rural,Female,36.66
35,A & N ISLANDS #,Rural,Female,44.94
01,JAMMU & KASHMIR,Urban,Male,86.3
02,HIMACHAL PRADESH,Urban,Male,97.2
03,PUNJAB,Urban,Male,87.85
04,CHANDIGARH #,Urban,Male,98.65
05,UTTARAKHAND,Urban,Male,87.25
06,HARYANA,Urban,Male,94.79
07,NCT OF DELHI #,Urban,Male,88.16
08,RAJASTHAN,Urban,Male,88.97
09,UTTAR PRADESH,Urban,Male,87.1
10,BIHAR,Urban,Male,86.46
11,SIKKIM,Urban,Male,82.02
12,ARUNACHAL PRADESH,Urban,Male,85.81
13,NAGALAND,Urban,Male,79.6
14,MANIPUR ,Urban,Male,88.74
15,MIZORAM,Urban,Male,77.3
16,TRIPURA,Urban,Male,78.3
17,MEGHALAYA,Urban,Male,79.31
18,ASSAM,Urban,Male,83.67
19,WEST BENGAL,Urban,Male,99.33
20,JHARKHAND,Urban,Male,89.34
21,ORISSA,Urban,Male,85.36
22,CHHATTISGARH,Urban,Male,89.1
23,MADHYA PRADESH,Urban,Male,91.15
24,GUJARAT,Urban,Male,83.32
25,DAMAN & DIU #,Urban,Male,81.32
26,DADRA & NAGAR HAVELI #,Urban,Male,82.21
27,MAHARASHTRA,Urban,Male,74.56
28,ANDHRA PRADESH,Urban,Male,88.32
29,KARNATAKA,Urban,Male,93.68
30,GOA,Urban,Male,80.74
31,LAKSHADWEEP #,Urban,Male,77.74
32,KERALA,Urban,Male,83.52
33,TAMIL NADU,Urban,Male,84.82
34,PUDUCHERRY #,Urban,Male,82.13
35,A & N ISLANDS #,Urban,Male,88.92
01,JAMMU & KASHMIR,Urban,Female,72.81
02,HIMACHAL PRADESH,Urban,Female,70.9
03,PUNJAB,Urban,Female,70.49
04,CHANDIGARH #,Urban,Female,75.23
05,UTTARAKHAND,Urban,Female,75.05
06,HARYANA,Urban,Female,74.19
07,NCT OF DELHI #,Urban,Female,74.73
08,RAJASTHAN,Urban,Female,77.4
09,UTTAR PRADESH,Urban,Female,84.99
10,BIHAR,Urban,Female,66.65
11,SIKKIM,Urban,Female,80.16
12,ARUNACHAL PRADESH,Urban,Female,76.43
13,NAGALAND,Urban,Female,75.29
14,MANIPUR ,Urban,Female,78.05
15,MIZORAM,Urban,Female,72.37
16,TRIPURA,Urban,Female,77.86
17,MEGHALAYA,Urban,Female,77.12
18,ASSAM,Urban,Female,78.96
19,WEST BENGAL,Urban,Female,72.83
20,JHARKHAND,Urban,Female,71.89
21,ORISSA,Urban,Female,60.25
22,CHHATTISGARH,Urban,Female,78.51
23,MADHYA PRADESH,Urban,Female,70.15
24,GUJARAT,Urban,Female,79.52
25,DAMAN & DIU #,Urban,Female,72.05
26,DADRA & NAGAR HAVELI #,Urban,Female,61.7
27,MAHARASHTRA,Urban,Female,73.34
28,ANDHRA PRADESH,Urban,Female,76.47
29,KARNATAKA,Urban,Female,61.93
30,GOA,Urban,Female,68.25
31,LAKSHADWEEP #,Urban,Female,81.31
32,KERALA,Urban,Female,70.02
33,TAMIL NADU,Urban,Female,75.55
34,PUDUCHERRY #,Urban,Female,72.02
35,A & N ISLANDS #,Urban,Female,69.61
