Column1,State,Area,Sex,Literacy Rate
25,DADRA & NAGAR HAVELI #,Urban,Female,71.97
26,MAHARASHTRA,Urban,Female,54.24
27,ANDHRA PRADESH,Urban,Female,59.81
28,KARNATAKA,Urban,Female,62.03
29,GOA,Urban,Female,69.57
30,LAKSHADWEEP #,Urban,Female,73.53
31,KERALA,Urban,Female,70.43
32,TAMIL NADU,Urban,Female,67.05
33,PUDUCHERRY #,Urban,Female,73.71
34,A & N ISLANDS #,Urban,Female,63.44
