"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Egypt, Arab Rep.","EGY","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47920638008","0.50152763926","0.47045338001","0.40747716591","0.37809470516","","","","","","","","","0.64674613506","0.43412565805","0.69117489882","0.71415869699","0.86920815291","1.214273716","1.1240554283","2.2220545646","3.1977096307","2.5537407964","","","","","","","","",
"Euro area","EMU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","1","1","","","","","",
"Eritrea","ERI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2345072281","1.118346531","1.1183978972","1.1984606378","1.0816922478","1.0329900062","0.9947640332","1.1564798113","1.2984570425","1.2013504959","1.3545706164","1.3964374292","1.3454329101","1.378048948","1.2006923839","1.1767614244","1.0641969904","1.0609946217","0.883461047","0.88443207632","0.85444568837","0.81768333448","0.77343038836","0.64350401659","0.69049660965","0.64707002941","0.63043953794","0.65812850334","0.62107992821","","",
"Estonia","EST","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5387510973","7.6862461407","14.268702686","18.950848756","20.72624203","17.166471509","15.094435443","12.626997087","13.936786717","11.184056806","10.220775907","9.8437997354","10.269487256","10.707230804","6.673658118","8.3354848228","6.743872895","7.1412896723","6.4175895683","5.238971964","5.2548489118","4.8956805787","4.7613181445","3.9421773555","3.114855353","3.4211946812","2.5066330828","2.1979870986","2.1165412994","","",
"Ethiopia","ETH","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7924785474","","","","","","","","",
"European Union","EUU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","1","1","","","","","",
"Fragile and conflict affected situations","FCS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3","","10.5","9.5","","","","","",
"Finland","FIN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0422999788","3.0682583888","3.0922145965","2.5632016518","2.8839985168","2.8521128687","2.9784013343","2.6981175292","2.1881261817","2.762793327","2.8527629298","2.9997259866","2.531952473","1.9704976329","2.8232556143","2.2628164306","2.2548597913","2.4350001255","2.5002575453","2.2462378324","2.2177560632","2.0408026959","1.6251847493","1.6363350214","1.6113055054","1.4960424205","1.3460139978","1.251956863","1.6296716121","","",
"Fiji","FJI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3921353327","2.3116734068","3.4924174245","1.9868549675","4.5715360492","3.095064919","1.6573409367","1.639890203","","","","","","3.0634326621","2.8122034959","2.7993953306","2.657425269","2.5114059688","2.0109870871","3.3972325441","2.3260790681","2.3162866219","2.3119649968","2.1950041705","2.3082773672","","","","","","",
"France","FRA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3911682703","2.3808026134","2.3483209934","2.6477079852","2.441518088","2.3113432266","2.0185459729","1.6540521004","1.6443021892","1.6233882102","1.7809003839","1.7630974311","1.871130009","1.6381310163","1.631026352","1.5968552945","1.4290609278","1.6049981809","1.6412361598","1.3095015143","1.2659126694","1.3539541606","1.2333982084","1.2160857437","1.2337688132","1.5701316524","1.3515270942","1.27077123","1.1986365025","","",
"Faroe Islands","FRO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24871696","1.2814909951","1.5125834214","1.5363975443","1.5909733263","1.5535334687","1.4454459282","1.4835187074","1.5740906524","1.5668679905","1.5528660519","1.6338466177","1.8659517144","1.55469742","1.5866981913","1.3833609511","1.4139771875","1.4205480634","1.2261626814","1.1236917188","1.191305343","1.001219551","0.97171187116","0.92792050476","0.90029434275","0.98997650309","1.1930988388","1.203402563","1.2049147774","","",
"Georgia","GEO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9903888807","7.7982563173","14.517550682","16.855591353","11.339723601","7.8573191229","5.5708846585","6.0514744789","5.3110157022","5.4749619221","5.4789068962","6.1205762837","6.8567569465","7.1244394222","7.0519008067","9.5720873183","7.7093420518","7.9196325291","6.3485963567","5.0977184069","4.561981471","","","","2.6763743058","","0.97124685932","","2.2233624935","","",
"Ghana","GHA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1916361596","1.9806013679","2.1011736308","2.1248262061","1.8015417897","1.8410069736","1.7375062631","1.8248305284","1.7665839516","1.7030128072","1.6661603194","2.1541399454","2.0708337128","1.9945284538","1.8851526918","1.9275367657","2.0912410173","","","",
"Gibraltar","GIB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2.9775197261","","","","","","","","","","",
"Guinea","GIN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9142762151","3.8406247101","2.7630558707","3.5905957808","1.1487047533","","","",
"Equatorial Guinea","GNQ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0170164454","1.3378433519","1.3147507549","1.4239860578","1.2494200296","1.405239141","1.560172003","1.8613183929","1.6043578735","1.4055261115","","1.185510156","0.84061358353","1.0874526769","0.9879845942","1.1759675005","0.98343968041","1.1690257456","1.3043109651","1.3869539462","1.6165119346","1.6991295839","1.5397288537","1.4245145548","0.99986357002","0.87244178726","0.79131937716","0.81366587795","0.94086394499","","",
"Grenada","GRD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.586189796","5.8115883071","13.508819329","8.6535965309","5.7501006268","10.51042443","11.435323715","10.457963739","15.17206065","6.6170701504","9.4138025173","3.7458093758","13.029073447","5.5467218874","7.3461891644","5.4743027107","9.9761479372","10.823096488","","","",
"Greenland","GRL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.273716813","21.487277741","10.749413261","19.709729439","5.3734551316","19.687505593","10.723668925","19.624634268","23.141143172","30.176086339","21.232173821","8.8172536018","19.343040023","17.559570844","14.042971493","14.052838673","14.075585896","17.627668388","19.421589745","1.7681902573","14.165058342","12.408707367","7.0943369455","7.0949661215","5.318394554","","","","",
"Guatemala","GTM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.491226292","32.509285169","31.84136375","31.320597443","33.991829938","36.72054827","29.73008852","23.315636282","24.925446821","27.086087889","29.740711127","33.894701155","35.219395658","40.760450421","43.927672881","42.19607621","44.922257079","45.388977883","40.737039675","38.00307075","33.757293507","33.682099839","31.388088277","29.398689734","27.256699434","26.071566509","22.501348718","","",
"Guam","GUM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2876393065","5.1152530452","1.2724831873","5.0721835116","5.6928156666","4.4190245319","6.9335451216","0.62953263497","0.62878449669","3.1400723473","1.8815973507","2.504853153","","","","","","","","","",
"Guyana","GUY","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.108068548","25.789916948","14.026257153","15.514340157","14.231199005","14.31765222","11.566756616","11.47795112","14.991151241","12.138577199","10.1778717","10.735286619","19.200068744","28.048345148","17.566514736","19.030872901","20.500177534","15.405699037","21.156511318","15.647610463","18.680864123","17.286567406","18.401139547","20.414049607","19.518687506","19.415375674","18.40897217","14.834536866","14.248909188","","",
"High income","HIC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","2","2.2","","","","","",
"Hong Kong SAR, China","HKG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.391783995","1.5861959573","1.8415122908","1.4506600166","1.6001016065","1.1998223605","1.2448299142","1.6190702346","0.99735140867","0.96589308851","0.65089108503","0.99028099223","1.0295785994","0.77327019087","0.6672040872","0.50224689009","0.51454826411","0.26315724069","0.52311431457","0.67873544943","0.50241705669","0.24262844821","0.38315008116","0.8746215851","0.37843386686","0.3061511897","0.38655127375","0.32848296303","0.65113634144","","",
"Honduras","HND","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.000052469","13.803672895","18.210962315","23.218875964","30.319963492","26.86980755","","","","40.064778948","48.307782633","51.659441059","52.285472619","57.315154405","49.965995936","43.062176581","40.842016191","45.949808671","55.82038741","64.779076358","74.974748923","83.766966525","83.002611365","73.091804944","65.780224819","56.491322634","55.550797483","40.979885918","38.925591104","","",
"Heavily indebted poor countries (HIPC)","HPC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","","8.3","8.1","","","","","",
"Croatia","HRV","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8682870046","9.1806664828","8.1768636594","4.6407298122","3.0701189403","3.5955928429","2.6667319506","2.6034743144","2.3375377846","2.4907740383","2.2809008429","1.837537627","1.6606753443","1.5721446947","1.8933012947","1.5531972337","1.6930608756","1.4212272205","1.6311943168","1.1287043096","1.4324783979","1.1360743484","1.1871870395","1.0756225809","0.84596046827","0.87411059247","1.0454755738","1.0997294426","0.57742179724","","",
"Haiti","HTI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1183022907","5.1624567074","6.1032577312","6.8044864985","9.0492182426","10.077142329","9.9897391245","9.2899739284","10.013519654","9.4834158304","","6.67974266","","",
"Hungary","HUN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9369508058","2.962448314","2.9444070843","2.8767111122","3.0219396682","2.8600946073","2.6228045988","2.8035173763","2.8113907045","2.468435491","2.0057709455","2.491795958","1.9965996826","2.2482233858","2.066344284","1.6260256107","1.7303692837","1.5362886339","1.8114732712","1.3956609403","1.3900948689","1.4652845295","1.2570502525","1.5660077875","1.4890375728","2.2601932414","2.0711639634","2.4871986353","","","",
"IBRD only","IBD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","5.6","5.6","","","","","",
"IDA & IBRD total","IBT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","5.9","5.9","","","","","",
"IDA total","IDA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","","7.1","6.9","","","","","",
"IDA blend","IDB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","","8","7.7","","","","","",
"Indonesia","IDN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85454050008","1.0018446837","1.0420122804","","","0.74213785623","0.63550877467","","","","0.58266506456","0.54940782679","0.43748977037","0.5984921718","0.58602936424","0.55042523844","0.50053291665","0.57704977378","0.49396614618","0.43453458884","","","",
"IDA only","IDX","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","","6.7","6.5","","","","","",
"Isle of Man","IMN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1780089293","2.3659119408","2.381377627","3.5933307781","1.2014609765","0","","","","",
"India","IND","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.057039129","5.4499562975","5.4643810084","5.1700237359","5.0188143249","4.8122121707","4.775413228","4.7375360849","4.8349969217","4.6029213119","4.5587842811","4.3181391573","4.1832325096","3.988311009","4.1155306524","3.9294710735","3.8577030332","3.8338097447","3.8311117225","3.763079037","3.7641342502","3.8103222877","3.75088806","3.5818622233","3.6551383088","3.386857916","3.2221550908","3.124876793","3.0792324418","","",
"Not classified","INX","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48420894926","0.65383557002","0.7082459948","0.64844827737","0.70068874901","1.1970446915","1.160338631","1.0407833703","1.0304187757","1.0183648705","0.97803518019","1.3533726176","1.3306055919","0.9296302559","0.7392565691","1.2556692258","1.4655065843","1.8036145824","1.154925042","1.1792001552","1.2076419583","0.91481045454","1.1284234904","1.1049900919","1.1238742886","0.66631989373","0.78793983547","0.86256209132","0.8716054599","","",
"Iran, Islamic Rep.","IRN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6466852645","2.922353333","","","","","3.0373741137","","","","2.6633730622","2.4991683746","","","","","","",
"Iraq","IRQ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7052782768","6.5457548544","7.5912608666","5.8981528283","6.4843514738","","","","","","","","","","","","","","16.191228983","8.8150559499","9.0478181729","8.5727383341","8.457193431","10.070253211","","","","","","","",
"Iceland","ISL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.3701729448","0.73338246996","0","0.71976621993","1.7829189235","0.35346930119","1.4018904493","0","1.0305666055","1.0170318941","0","0.65534879301","0","0.3163986243","0.62433274438","0.92744017238","0.30708569533","0.30562907633","0.60865754492","0.90843848509","0.30101532469","0.89714260082","0.89096913683","","",
"Israel","ISR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.304597572","2.4404566705","3.134976959","2.8603811448","2.7421026953","2.1246856603","2.1569838066","2.8024534402","2.5792736239","2.3519539415","2.5899986697","3.184461675","3.3715272256","2.7236351323","2.4857301113","2.5882652038","2.2901993985","1.971623806","1.7091991377","2.0027713348","2.041803615","1.9633783196","1.6809048941","1.6419227614","1.375057676","1.3787059616","1.2825281194","1.492021506","","","",
"Italy","ITA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1447071712","3.3947515355","2.5828892199","1.8724558596","1.6936550926","1.7700225758","1.6700186494","1.5341726951","1.5667198394","1.4455756903","1.3511564153","1.2465901627","1.1262182722","1.2490317615","1.2321302077","1.0466495299","1.0675982911","1.0740816406","1.043750703","0.99821299571","0.89169478511","0.92634437826","0.88511138935","0.83434679322","0.78629858005","0.77420220897","0.65937977288","0.61146763208","0.5690506607","","",
"Jamaica","JAM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.48025849","23.203102165","25.680127198","26.443069119","27.58024776","30.784957207","36.152145425","40.171615619","32.926082287","32.438464726","33.412463489","42.584119526","38.806569859","35.985322417","53.981314612","61.094890511","48.649186361","57.220699588","58.198283241","60.196599303","51.486160292","40.092967559","38.668209173","42.011956442","34.954856064","41.784502654","46.589375558","56.387733973","43.852281528","","",
"Jordan","JOR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3652206687","3.217663216","3.5447914569","3.9271137214","4.4667585867","0.76271965781","0.95080171601","0.86624086116","","","","","","","","1.1620567989","1.6690180349","1.7904845339","1.8302523323","1.4797066931","1.5974570687","1.8400445369","1.9901203504","1.6903408291","1.9060813188","1.6295128739","1.3711123992","1.3591066275","","","",
"Japan","JPN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54294902264","0.51148739863","0.5369767967","0.56878112202","0.59578053942","0.57294125391","0.51482856694","0.55952765463","0.60967246067","0.57804347567","0.53166392742","0.54575141372","0.51761989459","0.54428305693","0.54522401972","0.50106714444","0.48200186353","0.44671329139","0.50879640523","0.39360524953","0.36174848493","0.34397163943","0.33405082623","0.28835470409","0.30818773673","0.2836266795","0.28333652426","0.23999486505","0.26257409562","","",
"Kazakhstan","KAZ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0027509355","9.2345419753","11.531755049","15.981547925","15.909152188","15.448859445","16.792556464","16.753207597","16.662093533","15.804989597","15.580265372","14.486720406","13.13418692","13.185391169","13.711461024","","","","11.39191556","11.039072144","8.534190879","8.6109302176","7.5575217847","6.5781289663","5.2246425816","4.8543109183","","5.06083427","","","",
"Kenya","KEN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3666087026","2.9586431328","2.9375517394","2.8462302447","3.0538311435","4.663560267","4.5823665396","5.2595900669","5.3536632418","5.382251216","4.9357535128","4.722386046","4.8173827643","4.9102822146","4.9287280243","","",
"Kyrgyz Republic","KGZ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.789523392","8.2812418333","10.506956144","12.22165624","12.082832464","11.716792639","11.210948798","9.3292086472","8.8786347041","8.9074104512","8.7385727919","7.7778062113","8.2340340877","8.3773175749","8.315150144","9.6742287216","8.7034936331","8.0240969805","7.9353465263","7.8542255734","16.764109977","8.4633232734","6.7596618248","5.251851583","5.4752134521","5.1182002193","4.3955486756","4.1358851529","2.1890776131","","",
"Cambodia","KHM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4576527663","6.0075860065","2.9366437999","3.7255499057","4.9349357853","2.805658828","6.8359063524","4.8879128393","4.6975621462","3.2808264071","3.362948646","3.9591881595","3.9107716503","3.3751828381","2.967864336","2.8728168876","2.3984727563","2.3485829211","2.3127114236","1.8430110785","","","","","","","","","",
"Kiribati","KIR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.2673628713","0","0","0","3.5542918074","4.6596151158","","","","","","","7.0878898339","0.99080532657","3.8861362091","10.502697284","7.5216953901","","","","","","","","",
"St. Kitts and Nevis","KNA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5063811584","9.4179694858","16.333387778","18.507807981","13.754527532","6.8053444639","13.452311556","11.069783918","21.858401277","23.746303132","17.075044822","35.915745886","33.494525738","47.739632197","55.556698698","42.847524025","68.767444683","36.085884405","","","","","","","","",
"Korea, Rep.","KOR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48471600814","0.49928397353","0.54688424664","0.69117205452","0.49872374352","0.50378538302","0.53853392685","0.6004334592","0.81018203039","0.81818504911","0.78085801289","0.85346244774","0.77238089887","0.80110949251","0.86597051495","0.84398290864","0.850396174","0.87774082341","0.87353051056","1.0786456074","0.97815717893","0.80946202049","0.86894615948","0.69916568876","0.74494292433","0.73785364514","0.70807296941","0.58908250459","0.60384939332","","",
"Kuwait","KWT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98349087628","","","","","1.8542528716","1.0762796848","1.341582679","1.9541031167","1.8060114633","1.8958056774","2.3562055666","1.4307175048","1.7369474602","2.005425344","1.8623419929","1.8215197327","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","","20","21.1","","","","","",
"Lao PDR","LAO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.840709209","3.0126577334","3.2908922639","3.2295134469","3.5033100863","3.9911950179","3.8332253109","3.5360673512","3.5000024574","3.6073697685","2.4929265033","","",
"Liberia","LBR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8885780137","4.9059512515","3.8624138915","3.315038944","4.0075211963","3.2642899734","","","","","","","","",
"Libya","LBY","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.143530963","7.1428061228","9.875985835","5.5787227514","6.8927488282","10.893913707","8.0625113379","8.6138351444","9.1489514648","10.323379875","14.674263256","21.493956405","26.350130496","22.42571482","22.864770333","25.090570841","26.001040042","17.298561237","22.939692138","22.645059022","25.273993061","26.205152161","22.077054581","18.591025605","19.068236244","15.63101864","16.664074477","29.289049764","21.441530595","","",
"Latin America & Caribbean","LCN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","","22.5","22.3","","","","","",
"Least developed countries: UN classification","LDC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","6.3","6.2","","","","","",
"Low income","LIC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","","7.3","7.3","","","","","",
"Liechtenstein","LIE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","3.0520372349","0","0","0","0","2.9032632679","0","0","0","2.8193633877","0","2.7780864541","0","0","0","2.6867997528","0","0","2.6451527576","2.6372698982","","",
"Sri Lanka","LKA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.456922922","","","","","8.8472693265","9.663918847","10.02117006","","10.28221547","","","","6.8143859073","7.1026416308","6.2368930592","10.377753792","","10.018022432","5.4612744458","3.7657184196","3.588499858","3.2923255356","2.9956851004","2.6601230526","2.3292492873","2.5212670061","2.3002620027","2.4212436336","","",
"Lower middle income","LMC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","4.5","4.5","","","","","",
"Low & middle income","LMY","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","5.6","5.6","","","","","",
"Lesotho","LSO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.462090545","31.505841493","35.908979714","36.493606485","44.75311378","","","","","","","","","","","","","45.044455606","37.843523071","36.329193748","38.28470491","35.532612401","31.811603841","32.437314151","","43.56460456","","","","","",
