"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Azerbaijan","AZE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5424684906","4.8518981862","7.5482566472","6.3046097249","6.4942637041","5.6974428899","5.0919361807","3.5832941779","3.5044230199","3.0046711462","2.7823113448","2.6594138676","2.5612943719","2.1886200607","2.3789972183","2.2486095512","2.2015832164","2.1663785612","2.1764095568","","2.2806620341","","2.18032261","2.354704353","2.4827428333","2.3382111188","2.1363919893","2.0415799757","2.2011074485","","",
"Burundi","BDI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1963528894","4.4774372292","3.9997205959","3.8957823524","5.4077485682","5.4505612086","5.7292031197","4.5373863906","6.0545373656","","","","",
"Belgium","BEL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0360432212","1.0183051904","1.2001353794","1.4301169638","1.1815781335","1.3940286879","1.1755180729","1.4182614364","","","2.0618464457","2.7328160623","3.0777011483","2.2074993745","2.5572231152","2.0954054207","2.081080399","1.9724094505","1.88333282","1.7403420684","1.7278049061","1.9430063574","1.8492867391","1.8379043659","1.8714534287","2.0375744678","1.532444627","1.6900542148","","","",
"Benin","BEN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1274974068","","","",
"Burkina Faso","BFA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63450243661","0.64008223397","0.59859211135","0.46938090521","0.498945237","0.6595552114","1.027929386","0.89161301248","0.78819824993","0.55963484448","0.69397291164","0.70873004888","0.73922316402","0.64602993073","1.1208627962","1.2504405198","","","",
"Bangladesh","BGD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6187184617","2.8273014839","2.6442110871","2.5750863195","2.8484573461","2.5835127509","2.9562630462","2.707829583","2.8405278728","2.8912153003","2.7023468059","2.6568746121","2.7243998743","2.875726215","2.9213541247","2.5822960967","2.273113534","2.2224946885","2.3733287962","","",
"Bulgaria","BGR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5674475251","4.277403901","5.324801971","5.7135914213","5.8054316657","5.8954770115","5.2822188213","4.8466816792","4.6819304152","4.0535489937","4.1510631911","3.8836420493","3.2417004206","3.1649194688","3.150570137","2.5887983865","2.4374198993","2.3361170962","2.285992554","2.007089307","1.9932630403","1.7347342035","1.9225506602","1.4951800334","1.5733582421","1.7500634398","1.1045941609","1.4502033945","1.3046665939","","",
"Bahrain","BHR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.88699977648","1.3825020176","1.0085270966","","","","1.290230091","1.0882280926","0.3852535225","0.84353000436","0.44986430968","0.73036644571","0.38612871214","0.5382879751","1.0969769846","0.88647909843","0.54766526386","0.30770603612","0.38021975181","0.52392346825","","","","","","",
"Bahamas, The","BHS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.562551956","10.727681633","15.411911528","12.912032169","18.850893061","14.276587467","17.959011198","16.007627983","","","24.8284655","14.209333219","16.901939498","15.968165865","13.797731528","16.007486578","18.427221537","23.118851645","21.240689013","24.885583524","26.483647756","35.318688592","30.529648139","32.410761462","33.456998314","39.01656868","29.371062359","31.958171469","","","",
"Bosnia and Herzegovina","BIH","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6355164266","","","","","","","","","","2.6391723555","2.1834561128","2.3940060473","","1.806495627","1.8590658141","1.9386937241","1.7540171644","1.7580024404","1.9004562433","1.5112760081","1.3929961791","1.747586389","1.2984820745","1.4359126345","1.6621167436","1.3288985528","1.2531575094","1.1733102602","","",
