District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Households_with_Internet,Rural_Households,Urban_Households,Households
243,SIKKIM,South District,146850,76670,70180,106741,59357,47384,74753,45300,29453,591,31135,8163,39298
244,SIKKIM,East District,283583,151432,132151,214329,121345,92984,139678,92351,47327,3291,40626,41512,82138
245,ARUNACHAL PRADESH,Tawang,49977,29151,20826,26073,17720,8353,28561,19554,9007,96,10730,2452,13182
246,ARUNACHAL PRADESH,West Kameng,83947,46155,37792,48492,29566,18926,42493,28313,14180,202,17889,6306,24195
247,ARUNACHAL PRADESH,East Kameng,78690,38775,39915,38449,21599,16850,31710,16424,15286,57,14503,5215,19718
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,87391,121048,65794,55254,65772,41263,24509,2477,20308,30180,50488
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690,45278,24807,20471,33370,17898,15472,139,14542,4672,19214
250,ARUNACHAL PRADESH,West Siang,112274,58168,54106,64746,36777,27969,49177,29156,20021,303,22272,8503,30775
251,ARUNACHAL PRADESH,East Siang,99214,50116,49098,62576,34210,28366,40222,23591,16631,450,19497,9524,29021
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,16621,18195,10723,7472,17644,9968,7676,97,8569,2182,10751
253,ARUNACHAL PRADESH,Changlang,148226,76948,71278,73174,44027,29147,62966,39329,23637,170,33422,6498,39920
254,ARUNACHAL PRADESH,Tirap,111975,57604,54371,47974,29313,18661,50169,27545,22624,98,18420,6500,24920
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,41187,54057,29470,24587,30202,17339,12863,381,18112,5365,23477
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758,36606,20258,16348,38044,18429,19615,95,18603,1092,19695
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,3590,4436,2614,1822,3555,2228,1327,17,2055,1175,3230
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,26027,31849,18087,13762,22326,14102,8224,207,12000,3950,15950
259,ARUNACHAL PRADESH,Lohit,145726,76221,69505,83062,48380,34682,60945,38910,22035,312,33599,11372,44971
260,ARUNACHAL PRADESH,Anjaw,21167,11507,9660,9990,6523,3467,10501,6224,4277,27,6025,428,6453
261,NAGALAND,Mon,250260,131753,118507,119626,67432,52194,147654,79425,68229,178,43607,7415,51022
262,NAGALAND,Mokokchung,194622,101092,93530,159494,83479,76015,100067,57084,42983,537,37536,17742,55278
263,NAGALAND,Zunheboto,140757,71217,69540,102881,53504,49377,79466,41178,38288,261,31267,6044,37311
264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,78412,42096,36316,198,38499,8170,46669
265,NAGALAND,Dimapur,378811,197394,181417,278037,150142,127895,151350,99645,51705,3303,49116,62853,111969
266,NAGALAND,Phek,163418,83743,79675,105893,57926,47967,80277,41556,38721,170,38903,7295,46198
267,NAGALAND,Tuensang,196596,101933,94663,117511,63653,53858,98154,52931,45223,155,40690,9451,50141
268,NAGALAND,Longleng,50484,26502,23982,29859,16139,13720,30568,16273,14295,37,12686,2451,15137
269,NAGALAND,Kiphire,74004,37830,36174,41232,22675,18557,31959,16780,15179,47,16032,4290,20322
270,NAGALAND,Kohima,267988,138966,129022,197489,107038,90451,114825,68140,46685,1928,31845,44255,76100
271,NAGALAND,Peren,95219,49714,45505,62204,34584,27620,61390,32249,29141,121,20204,4073,24277
272,MANIPUR,Senapati,479148,247323,231825,264477,148012,116465,233622,124143,109479,256,38008,1826,39834
273,MANIPUR,Tamenglong,140651,72371,68280,85006,47403,37603,70675,37237,33438,125,23982,4119,28101
274,MANIPUR,Churachandpur,274143,138820,135323,195935,104013,91922,122655,70594,52061,837,52972,4853,57825
275,MANIPUR,Bishnupur,237399,118782,118617,156333,87313,69020,109937,62807,47130,676,34977,21172,56149
276,MANIPUR,Thoubal,422168,210845,211323,269304,152617,116687,195319,109377,85942,880,65961,38302,104263
277,MANIPUR,Imphal West,517992,255054,262938,392626,205985,186641,213387,128540,84847,4913,51055,85746,136801
278,MANIPUR,Imphal East,456113,226094,230019,324664,173314,151350,194848,117562,77286,2739,64421,46520,110941
279,MANIPUR,Ukhrul,183998,94718,89280,129829,70148,59681,87929,46533,41396,276,36084,5806,41890
280,MANIPUR,Chandel,144182,74579,69603,90302,51053,39249,76238,42615,33623,184,30377,3783,34160
281,MIZORAM,Mamit,86364,44828,41536,60191,32977,27214,39339,24016,15323,90,16726,4129,20855
282,MIZORAM,Kolasib,83955,42918,41037,65895,34147,31748,36672,22733,13939,367,9669,12507,22176
283,MIZORAM,Aizawl,400309,199270,201039,340595,169547,171048,174636,104643,69993,4019,20570,80341,100911
284,MIZORAM,Champhai,125745,63388,62357,100802,51440,49362,60342,34129,26213,186,18395,12717,31112
285,MIZORAM,Serchhip,64937,32851,32086,54476,27598,26878,32397,18261,14136,131,7472,8018,15490
286,MIZORAM,Lunglei,161428,82891,78537,121122,64515,56607,78292,46230,32062,482,21479,17315,38794
287,MIZORAM,Lawngtlai,117894,60599,57295,62861,36444,26417,45566,28517,17049,162,21993,5273,27266
288,MIZORAM,Saiha,56574,28594,27980,42233,21861,20372,19461,12211,7250,168,7043,5784,12827
289,TRIPURA,West Tripura,1725739,879428,846311,1361354,722998,638356,698178,500406,197772,6394,289621,217016,506637
290,TRIPURA,South Tripura,876001,447544,428457,646810,351082,295728,366845,253229,113616,948,219171,44906,264077
291,TRIPURA,Dhalai,378230,194544,183686,276217,151643,124574,155831,105657,50174,273,89457,14071,103528
292,TRIPURA,North Tripura,693947,352860,341087,520402,275646,244756,248667,186034,62633,997,150437,42184,192621
293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,193438,165264,255693,151914,103779,1630,139351,18594,157945
294,MEGHALAYA,East Garo Hills,317917,161223,156694,192147,102513,89634,126073,72262,53811,288,62698,11518,74216
295,MEGHALAYA,South Garo Hills,142334,73170,69164,82062,45003,37059,53069,32826,20243,179,35930,3713,39643
296,MEGHALAYA,West Khasi Hills,383461,193715,189746,230678,117307,113371,163345,89694,73651,149,74832,12299,87131
297,MEGHALAYA,Ribhoi,258840,132531,126309,155859,80977,74882,106473,63871,42602,291,57988,5736,63724
298,MEGHALAYA,East Khasi Hills,825922,410749,415173,578030,287270,290760,326786,204303,122483,5032,106248,108843,215091
299,MEGHALAYA,Jaintia Hills,395124,196285,198839,187527,87371,100156,154180,88839,65341,510,76546,7171,83717
300,ASSAM,Kokrajhar,887142,452905,434237,489305,275220,214085,341131,236322,104809,1218,204896,17115,222011
301,ASSAM,Dhubri,1949258,997848,951410,922341,511551,410790,669819,524898,144921,1828,460602,60417,521019
302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,362573,267118,95455,1364,228610,39504,268114
303,ASSAM,Barpeta,1693622,867004,826618,897058,499038,398020,561824,445297,116527,2078,447189,52192,499381
304,ASSAM,Morigaon,957423,486651,470772,539902,289698,250204,351148,257984,93164,1421,232206,25275,257481
305,ASSAM,Nagaon,2823768,1439112,1384656,1710716,921850,788866,979998,766728,213270,5121,674999,124186,799185
306,ASSAM,Sonitpur,1924110,983904,940206,1108572,620525,488047,770606,537195,233411,4358,483325,64528,547853
307,ASSAM,Lakhimpur,1042137,529674,512463,683486,375552,307934,429995,282250,147745,1948,293239,34694,327933
308,ASSAM,Dhemaji,686133,351249,334884,423028,237761,185267,316800,186577,130223,1192,211758,16504,228262
309,ASSAM,Tinsukia,1327929,680231,647698,798322,453449,344873,557196,366623,190573,5135,290704,90910,381614
310,ASSAM,Dibrugarh,1326335,676434,649901,884531,491361,393170,560557,368013,192544,8817,299852,77163,377015
311,ASSAM,Sivasagar,1151050,589216,561834,813505,444767,368738,485717,325071,160646,5146,360182,45047,405229
312,ASSAM,Jorhat,1092256,556805,535451,794929,432335,362594,498618,320746,177872,5651,286330,80824,367154
313,ASSAM,Golaghat,1066888,543161,523727,721764,396475,325289,479928,309104,170824,3073,292893,34190,327083
314,ASSAM,Karbi Anglong,956313,490167,466146,557214,314253,242961,383441,246193,137248,1923,215691,37185,252876
315,ASSAM,Dima Hasao,214102,110802,103300,140873,78559,62314,85028,56323,28705,524,37610,21309,58919
316,ASSAM,Cachar,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,5316,346227,88933,435160
317,ASSAM,Karimganj,1228686,625864,602822,795297,435942,359355,399171,319798,79373,1933,261945,32695,294640
318,ASSAM,Hailakandi,659296,337890,321406,407366,226836,180530,214240,170792,43448,1211,159215,16202,175417
319,ASSAM,Bongaigaon,738804,375818,362986,434078,237114,196964,255806,197542,58264,2523,181923,38470,220393
320,ASSAM,Chirang,482162,244860,237302,259902,145869,114033,193894,128762,65132,747,129018,11613,140631
321,ASSAM,Kamrup,1517542,778461,739081,995319,550219,445100,628954,428492,200462,3109,390596,43849,434445
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353,1001191,537227,463964,490932,375613,115319,29117,61334,366858,428192
323,ASSAM,Nalbari,771639,396006,375633,531771,293184,238587,267623,210202,57421,1631,210706,28238,238944
324,ASSAM,Baksa,950075,481330,468745,572837,322614,250223,406756,266611,140145,1175,291641,3580,295221
325,ASSAM,Darrang,928500,475273,453227,487039,268666,218373,324843,246864,77979,1166,268517,20189,288706
326,ASSAM,Udalguri,831668,421617,410051,469926,264326,205600,345030,230690,114340,1448,267790,13835,281625
327,WEST BENGAL,Darjiling,1846823,937259,909564,1315585,717673,597912,683726,479586,204140,10943,303284,215675,518959
328,WEST BENGAL,Jalpaiguri,3872846,1983064,1889782,2498780,1396622,1102158,1512910,1091361,421549,9322,798378,319426,1117804
329,WEST BENGAL,Koch Bihar,2819086,1451542,1367544,1850504,1028733,821771,1127977,845308,282669,3534,803407,97331,900738
330,WEST BENGAL,Uttar Dinajpur,3007134,1551066,1456068,1489667,853495,636172,1075626,799627,275999,2883,683981,94269,778250
331,WEST BENGAL,Dakshin Dinajpur,1676276,857199,819077,1083685,596474,487211,702987,499560,203427,2518,390949,70077,461026
332,WEST BENGAL,Maldah,3988845,2051541,1937304,2086432,1152019,934413,1537847,1086461,451386,5357,830318,128678,958996
333,WEST BENGAL,Murshidabad,7103807,3627564,3476243,4055834,2177187,1878647,2589907,1985667,604240,7951,1501066,350899,1851965
334,WEST BENGAL,Birbhum,3502404,1790920,1711484,2158447,1201481,956966,1331603,1029770,301833,5210,831044,134565,965609
335,WEST BENGAL,Barddhaman,7717563,3966889,3750674,5247208,2918040,2329168,2911251,2293083,618168,32323,1364868,862368,2227236
336,WEST BENGAL,Nadia,5167600,2653768,2513832,3480555,1878866,1601689,1842607,1554090,288517,12787,1081381,468390,1549771
337,WEST BENGAL,North Twenty Four Parganas,10009781,5119389,4890392,7608693,4056046,3552647,3571624,2945189,626435,105185,1209337,1649803,2859140
338,WEST BENGAL,Hugli,5519145,2814653,2704492,4078388,2211777,1866611,2152870,1713608,439262,31725,992085,647953,1640038
339,WEST BENGAL,Bankura,3596674,1838095,1758579,2232992,1299337,933655,1466220,1050822,415398,4273,900515,90885,991400
340,WEST BENGAL,Puruliya,2930115,1496996,1433119,1624905,1002058,622847,1249642,801254,448388,3551,653219,99433,752652
341,WEST BENGAL,Haora,4850029,2500819,2349210,3605206,1942824,1662382,1819845,1498170,321675,30751,483384,869313,1352697
342,WEST BENGAL,Kolkata,4496694,2356766,2139928,3588137,1926915,1661222,1795740,1412466,383274,136618,0,1308106,1308106
343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3988183,5531657,3043277,2488380,2964494,2356571,607923,20665,1568802,611430,2180232
344,WEST BENGAL,Paschim Medinipur,5913457,3007885,2905572,4078412,2266913,1811499,2509159,1757358,751801,8970,1364335,201048,1565383
345,WEST BENGAL,Purba Medinipur,5095875,2629834,2466041,3923194,2149073,1774121,1910320,1516096,394224,9076,1193006,170707,1363713
346,JHARKHAND,Garhwa,1322784,683575,639209,653476,405161,248315,571431,335451,235980,565,272872,19180,292052
347,JHARKHAND,Chatra,1042886,533935,508951,510061,303902,206159,397690,251213,146477,590,200974,14528,215502
348,JHARKHAND,Kodarma,716259,367222,349037,390249,238780,151469,257418,173993,83425,845,116714,34771,151485
349,JHARKHAND,Giridih,2445474,1258098,1187376,1253475,783736,469739,1036277,623946,412331,1944,452564,46886,499450
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,489837,303701,551467,383691,167776,1944,257373,64337,321710
351,JHARKHAND,Godda,1313551,677927,635624,604519,376212,228307,552191,344019,208172,874,276454,15576,292030
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,287303,195960,490202,295690,194512,591,223450,37543,260993
353,JHARKHAND,Pakur,900422,452661,447761,352881,206989,145892,404584,234012,170572,328,200588,16587,217175
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,844504,658851,185653,11568,258764,405455,664219
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,759088,514432,685368,507677,177691,9754,250312,258452,508764
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,149568,110139,221332,121605,99727,351,96759,14725,111484
357,JHARKHAND,Purbi Singhbhum,2293919,1176902,1117017,1507699,856526,651173,837167,616249,220918,22042,262537,342126,604663
358,JHARKHAND,Palamu,1939869,1006302,933567,1024563,621706,402857,713175,473042,240133,2155,355529,52375,407904
359,JHARKHAND,Latehar,726978,369666,357312,350682,209706,140976,313379,180106,133273,340,146377,14137,160514
360,JHARKHAND,Hazaribagh,1734495,890881,843614,1013249,596113,417136,654636,423472,231164,3532,312983,68765,381748
361,JHARKHAND,Ramgarh,949443,494230,455213,596497,350031,246466,312125,234202,77923,2876,134067,118558,252625
362,JHARKHAND,Dumka,1321442,668514,652928,672409,406275,266134,624779,367108,257671,1193,303697,23281,326978
363,JHARKHAND,Jamtara,791042,404830,386212,426312,258260,168052,326631,214740,111891,808,165555,20113,185668
364,JHARKHAND,Ranchi,2914253,1494937,1419316,1911433,1085244,826189,1142867,743967,398900,22538,420740,310242,730982
365,JHARKHAND,Khunti,531885,266335,265550,284575,164741,119834,259984,141123,118861,417,123245,12474,135719
366,JHARKHAND,Gumla,1025213,514390,510823,559720,321795,237925,487508,264774,222734,831,216629,16445,233074
367,JHARKHAND,Simdega,599578,300309,299269,343483,191991,151492,288645,159867,128778,423,144169,11114,155283
368,JHARKHAND,Pashchimi Singhbhum,1502338,749385,752953,727561,439273,288288,694863,392690,302173,1959,336928,63396,400324
369,JHARKHAND,Saraikela-Kharsawan,1065056,544411,520645,612993,365332,247661,430051,283281,146770,2606,217248,68439,285687
370,ORISSA,Bargarh,1481255,749161,732094,983783,557217,426566,762092,473305,288787,2401,411566,47395,458961
371,ORISSA,Jharsuguda,579505,296690,282815,405879,228092,177787,247707,172018,75689,2498,103224,73962,177186
372,ORISSA,Sambalpur,1041099,526877,514222,703691,393192,310499,505840,313161,192679,5231,220697,94798,315495
373,ORISSA,Debagarh,312520,158230,154290,197819,112649,85170,165435,92384,73051,825,91408,7350,98758
374,ORISSA,Sundargarh,2093437,1061147,1032290,1342322,750147,592175,873227,584687,288540,12787,387911,230151,618062
375,ORISSA,Kendujhar,1801733,906487,895246,1052518,605119,447399,766514,498077,268437,2622,490634,83664,574298
376,ORISSA,Mayurbhanj,2519738,1256213,1263525,1369397,794171,575226,1223534,697782,525752,2950,689110,64479,753589
377,ORISSA,Baleshwar,2320529,1185787,1134742,1621232,902359,718873,932707,684020,248687,7370,601154,82440,683594
378,ORISSA,Bhadrak,1506337,760260,746077,1094140,596269,497871,468599,409559,59040,2637,373862,54244,428106
379,ORISSA,Kendrapara,1440361,717814,722547,1089265,579970,509295,466890,386382,80508,1628,414749,23494,438243
380,ORISSA,Jagatsinghapur,1136971,577865,559106,889027,481049,407978,403649,325589,78060,3199,309685,43047,352732
381,ORISSA,Cuttack,2624470,1352760,1271710,2011469,1103033,908436,936365,761876,174489,15046,579529,210768,790297
382,ORISSA,Jajapur,1827192,926034,901158,1290455,706396,584059,552234,486091,66143,3831,495611,45528,541139
383,ORISSA,Dhenkanal,1192811,612593,580218,829910,464093,365817,435533,340552,94981,1810,315390,36979,352369
384,ORISSA,Anugul,1273821,655718,618103,869456,494425,375031,526520,360947,165573,5564,340410,74177,414587
385,ORISSA,Nayagarh,962789,502636,460153,688362,392333,296029,343633,284591,59042,1163,261646,26688,288334
386,ORISSA,Khordha,2251673,1167137,1084536,1749936,957515,792421,792193,645880,146313,35701,331834,356895,688729
387,ORISSA,Puri,1698730,865380,833350,1291939,704857,587082,621676,498461,123215,3416,402014,72210,474224
388,ORISSA,Ganjam,3529031,1779218,1749813,2210050,1262652,947398,1501772,990027,511745,9049,795476,219918,1015394
389,ORISSA,Gajapati,577817,282882,294935,262537,153663,108874,293933,155907,138026,635,152095,23050,175145
390,ORISSA,Kandhamal,733110,359945,373165,399786,233900,165886,355349,193515,161834,768,218446,24489,242935
391,ORISSA,Baudh,441162,221625,219537,271612,158648,112964,219457,125627,93830,245,131377,6577,137954
392,ORISSA,Subarnapur,610183,311312,298871,398421,230393,168028,286661,181595,105066,708,176927,16575,193502
393,ORISSA,Balangir,1648997,830097,818900,927260,545672,381588,720601,469956,250645,3286,476770,62192,538962
394,ORISSA,Nuapada,610382,301962,308420,299383,180903,118480,305438,168155,137283,757,197258,11869,209127
395,ORISSA,Kalahandi,1576869,787101,789768,802036,484177,317859,751930,447290,304640,1953,456336,38412,494748
396,ORISSA,Rayagada,967911,471960,495951,407735,241959,165776,467122,258032,209090,1553,237343,49205,286548
397,ORISSA,Nabarangapur,1220946,604812,616134,470379,286984,183395,610906,342641,268265,1324,342840,29424,372264
