District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Households_with_Internet,Rural_Households,Urban_Households,Households
417,CHHATTISGARH,Bijapur,255230,128663,126567,86919,54076,32843,134525,71591,62934,117,50449,7942,58391
418,MADHYA PRADESH,Sheopur,687861,361784,326077,328025,208201,119824,277455,183788,93667,273,150146,26376,176522
419,MADHYA PRADESH,Morena,1965970,1068417,897553,1179685,747652,432033,675993,525329,150664,1781,319298,95288,414586
420,MADHYA PRADESH,Bhind,1703005,926843,776162,1094917,676513,418404,520768,455775,64993,1166,271211,88385,359596
421,MADHYA PRADESH,Gwalior,2032036,1090327,941709,1357210,803114,554096,685311,548820,136491,15779,172720,272172,444892
422,MADHYA PRADESH,Datia,786754,420157,366597,491445,303815,187630,321160,225662,95498,616,160453,43401,203854
423,MADHYA PRADESH,Shivpuri,1726050,919795,806255,900846,573242,327604,759281,481001,278280,1852,367859,66759,434618
424,MADHYA PRADESH,Tikamgarh,1445166,760355,684811,747940,459353,288587,655318,402776,252542,1090,322772,60220,382992
425,MADHYA PRADESH,Chhatarpur,1762375,936121,826254,943033,572010,371023,751797,481518,270279,1880,375869,95048,470917
426,MADHYA PRADESH,Panna,1016520,533480,483040,552559,332140,220419,431998,275375,156623,653,256744,32179,288923
427,MADHYA PRADESH,Sagar,2378458,1256257,1122201,1545719,908607,637112,1006035,682077,323958,4546,448408,165507,613915
428,MADHYA PRADESH,Damoh,1264219,661873,602346,747715,445737,301978,574595,367711,206884,1432,303387,66514,369901
429,MADHYA PRADESH,Satna,2228935,1157495,1071440,1371781,801051,570730,911349,590487,320862,3754,461831,114173,576004
430,MADHYA PRADESH,Rewa,2365106,1225100,1140006,1441757,845572,596185,991946,617184,374762,3406,523910,94489,618399
431,MADHYA PRADESH,Umaria,644758,330674,314084,356672,210907,145765,289691,175698,113993,839,138100,29966,168066
432,MADHYA PRADESH,Neemuch,826067,422653,403414,508834,307889,200945,418682,245708,172974,1945,174235,67962,242197
433,MADHYA PRADESH,Mandsaur,1340411,682851,657560,834591,502898,331693,679723,397714,282009,2324,302287,81832,384119
434,MADHYA PRADESH,Ratlam,1455069,738241,716828,825880,485090,340790,690980,411446,279534,3644,266716,107151,373867
435,MADHYA PRADESH,Ujjain,1986864,1016289,970575,1240990,730817,510173,897442,569425,328017,7501,300765,188684,489449
436,MADHYA PRADESH,Shajapur,1512681,780520,732161,894612,543509,351103,717871,431857,286014,1382,312611,73997,386608
437,MADHYA PRADESH,Dewas,1563715,805359,758356,925369,550716,374653,742676,451501,291175,3518,274995,101014,376009
438,MADHYA PRADESH,Dhar,2185793,1112725,1073068,1077338,638479,438859,1027974,597079,430895,2388,412348,103364,515712
439,MADHYA PRADESH,Indore,3276697,1699627,1577070,2309130,1289631,1019499,1268195,939055,329140,48691,200371,587947,788318
440,MADHYA PRADESH,Khargone (West Nimar),1873046,953121,919925,986234,575428,410806,894119,518254,375865,2162,383543,76620,460163
441,MADHYA PRADESH,Barwani,1385881,699340,686541,549926,313642,236284,653897,365928,287969,1158,250358,48912,299270
442,MADHYA PRADESH,Rajgarh,1545814,790212,755602,804245,488797,315448,745603,429768,315835,1611,331894,69823,401717
443,MADHYA PRADESH,Vidisha,1458875,769568,689307,862918,512344,350574,550402,401583,148819,1926,292579,83830,376409
444,MADHYA PRADESH,Bhopal,2371061,1236130,1134931,1660690,920314,740376,867457,644960,222497,40788,118893,581826,700719
445,MADHYA PRADESH,Sehore,1311332,683743,627589,780362,469208,311154,586087,364559,221528,1566,270427,59220,329647
446,MADHYA PRADESH,Raisen,1331597,700358,631239,820220,479093,341127,517838,370366,147472,1141,251272,74441,325713
447,MADHYA PRADESH,Betul,1575362,799236,776126,939769,529783,409986,786980,453887,333093,2109,318945,87704,406649
448,MADHYA PRADESH,Harda,570465,294838,275627,352550,203807,148743,230979,156852,74127,986,112714,31845,144559
449,MADHYA PRADESH,Hoshangabad,1241350,648725,592625,810644,469199,341445,478082,345435,132647,2871,209650,105746,315396
450,MADHYA PRADESH,Katni,1292042,662013,630029,790773,460583,330190,543874,348410,195464,2179,276151,72880,349031
451,MADHYA PRADESH,Jabalpur,2463289,1277278,1186011,1756468,980307,776161,1005624,705970,299654,20443,272284,352477,624761
452,MADHYA PRADESH,Narsimhapur,1091854,568810,523044,718785,413491,305294,477818,323464,154354,1603,230659,53059,283718
453,MADHYA PRADESH,Dindori,704524,351913,352611,378714,222759,155955,389925,203383,186542,554,218021,9774,227795
454,MADHYA PRADESH,Mandla,1054905,525272,529633,604962,348033,256929,559649,300235,259414,912,279674,37258,316932
455,MADHYA PRADESH,Chhindwara,2090922,1064468,1026454,1294198,731294,562904,957984,582263,375721,3588,413142,140802,553944
456,MADHYA PRADESH,Seoni,1379131,695879,683252,864194,485341,378853,684434,394660,289774,1182,335045,47542,382587
457,MADHYA PRADESH,Balaghat,1701698,842178,859520,1147623,626468,521155,893014,488610,404404,1712,400074,70793,470867
458,MADHYA PRADESH,Guna,1241519,649362,592157,653980,400537,253443,514897,335454,179443,2482,212765,72320,285085
459,MADHYA PRADESH,Ashoknagar,845071,443837,401234,469109,290304,178805,315270,231829,83441,619,169606,37135,206741
460,MADHYA PRADESH,Shahdol,1066063,540021,526042,604194,348761,255433,493057,292402,200655,1733,233594,57846,291440
461,MADHYA PRADESH,Anuppur,749237,379114,370123,436595,254120,182475,346471,207401,139070,1290,147388,60325,207713
462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,353030,247755,461760,284289,177471,837,250953,25916,276869
463,MADHYA PRADESH,Singrauli,1178273,613637,564636,585054,359923,225131,499439,304234,195205,2627,228732,58593,287325
464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,214582,137499,515121,265489,249632,744,211080,24713,235793
465,MADHYA PRADESH,Alirajpur,728999,362542,366457,209754,120905,88849,366797,188698,178099,297,135866,14662,150528
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,635732,731615,432259,299356,612976,369676,243300,1907,265663,63425,329088
467,MADHYA PRADESH,Burhanpur,757847,388504,369343,408679,233073,175606,328339,211925,116414,986,115979,62861,178840
468,GUJARAT,Kachchh,2092371,1096737,995634,1252319,739239,513080,776228,624704,151524,9631,488293,250982,739275
469,GUJARAT,Banas Kantha,3120506,1610379,1510127,1704923,1048402,656521,1248600,836268,412332,3424,666773,137424,804197
470,GUJARAT,Patan,1343734,694397,649337,837913,494631,343282,554830,383074,171756,2231,301483,102655,404138
471,GUJARAT,Mahesana,2035064,1056520,978544,1502645,847499,655146,812064,588699,223365,7759,476005,183738,659743
472,GUJARAT,Sabar Kantha,2428589,1244231,1184358,1578734,918625,660109,1084878,681435,403443,5262,544024,121509,665533
473,GUJARAT,Gandhinagar,1391753,723864,667889,1030494,582686,447808,534976,408075,126901,12107,237624,195634,433258
474,GUJARAT,Ahmadabad,7214225,3788051,3426174,5435760,3025463,2410297,2594952,2127547,467405,126341,353169,1845383,2198552
475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,643221,450405,723500,504038,219462,2975,340788,159810,500598
476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1514075,1210981,1479050,1159480,319570,21785,459474,721532,1181006
477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,795140,601394,847440,646822,200618,11573,347158,299167,646325
478,GUJARAT,Porbandar,585449,300209,285240,393678,221621,172057,231169,174118,57051,1653,96015,87557,183572
479,GUJARAT,Junagadh,2743082,1404356,1338726,1842818,1046981,795837,1123709,801859,321850,6628,489237,287506,776743
480,GUJARAT,Amreli,1514190,771049,743141,995459,558180,437279,657139,453642,203497,2538,313714,116899,430613
481,GUJARAT,Bhavnagar,2880365,1490201,1390164,1887255,1087371,799884,1150632,838781,311851,7297,387251,356826,744077
482,GUJARAT,Anand,2092745,1087224,1005521,1551253,874481,676772,844794,627561,217233,9902,413078,208909,621987
483,GUJARAT,Kheda,2299885,1185727,1114158,1660243,942480,717763,933983,674586,259397,5710,461479,160547,622026
484,GUJARAT,Panch Mahals,2390776,1226961,1163815,1440805,858054,582751,1097507,673565,423942,3456,463363,104238,567601
485,GUJARAT,Dohad,2127086,1068651,1058435,1007171,599035,408136,999124,540881,458243,1733,323697,52807,376504
486,GUJARAT,Vadodara,4165626,2153736,2011890,2893080,1614087,1278993,1693473,1233312,460161,53606,547454,692971,1240425
487,GUJARAT,Narmada,590297,301086,289211,370336,211767,158569,294795,174282,120513,576,138121,22248,160369
488,GUJARAT,Bharuch,1551019,805707,745312,1118276,623047,495229,627124,468919,158205,10257,300677,181319,481996
489,GUJARAT,The Dangs,228291,113821,114470,140968,77314,63654,118257,61329,56928,137,52102,7516,59618
490,GUJARAT,Navsari,1329672,678165,651507,1001909,539471,462438,591834,407881,183953,6726,267739,141417,409156
491,GUJARAT,Valsad,1705678,887222,818456,1170657,655528,515129,743245,516188,227057,11020,262410,235981,498391
492,GUJARAT,Surat,6081322,3402224,2679098,4571410,2687468,1883942,2553542,2142819,410723,55694,369840,1529998,1899838
493,GUJARAT,Tapi,807022,402188,404834,490036,269007,221029,450902,251049,199853,1601,192272,26217,218489
494,DAMAN AND DIU,Diu,52074,25642,26432,38058,20327,17731,15750,12932,2818,368,9788,9062,18850
495,DAMAN AND DIU,Daman,191173,124659,66514,150348,104316,46032,105521,94502,11019,1316,10006,61073,71079
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,149949,223230,142521,80709,157161,119293,37868,2013,48221,60562,108783
497,MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,512099,394410,792065,442898,349167,2579,333440,71572,405012
498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528,936370,570448,365922,6065,382777,146013,528790
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,1863571,1186472,677099,14297,796223,373565,1169788
500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,1219641,734024,485617,4767,575405,152787,728192
501,MAHARASHTRA,Akola,1813906,932334,881572,1411281,758977,652304,768154,520362,247792,6163,308158,196077,504235
502,MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214,569792,340353,229439,1875,274925,55921,330846
503,MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1207104,1044771,1236322,837577,398745,9438,508921,272894,781815
504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841,608235,392316,215919,4313,268486,120218,388704
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,1868560,1334211,534349,57964,430844,877522,1308366
506,MAHARASHTRA,Bhandara,1200334,605520,594814,899860,488709,411151,597305,345054,252251,2932,283843,72575,356418
507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406,665419,383151,282268,2866,319702,66813,386515
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,395110,313255,584237,323338,260899,1663,293586,37254,330840
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,1058172,648565,409607,8239,451324,233331,684655
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,1355999,815475,540524,6094,629243,168889,798132
511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203,1493953,925232,568721,7548,591119,230563,821682
512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192,569182,330903,238279,1221,242456,41913,284369
513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523,822797,501422,321375,3982,293480,133759,427239
514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095,930886,545030,385856,3791,404746,98084,502830
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,1575079,1015864,559215,23258,551789,427343,979132
516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,2763328,1746286,1017042,45039,904661,764271,1668932
517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765,4492767,3363123,1129644,256170,713994,2904157,3618151
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,3735021,2944322,790699,404757,0,3078829,3078829
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,1284396,1021009,263387,121344,0,1107321,1107321
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,1072969,753843,319126,38570,581868,377160,959028
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,4048993,2809816,1239177,235018,1165718,2056739,3222457
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,2204590,1300309,904281,18370,1041393,282011,1323404
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322,1255548,727819,527729,5614,563114,135457,698571
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,1046857,670018,376839,6217,428616,157016,585632
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,773916,473795,300121,3209,367158,77832,444990
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,1898395,1206933,691462,15145,779929,376302,1156231
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,1354947,844805,510142,14093,774522,200949,975471
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,714076,407008,307068,7752,538538,100824,639362
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,347178,229676,117502,3517,295847,44989,340836
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,1704054,1125204,578850,22269,796496,382818,1179314
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,1215104,800214,414890,13212,626872,226801,853673
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,5512,597466,220248,817714
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,790214,599596,1261076,684320,576756,5261,565165,155133,720298
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,8831,877236,288044,1165280
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731,1442203,837874,604329,8635,593653,195479,789132
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,149034,0,1066289,1066289
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244,2196078,1488916,707162,142879,432098,1129224,1561322
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,6153,848963,161052,1010015
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262,1741693,976428,765265,7715,833504,197433,1030937
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1179790,885233,1705655,960926,744729,12952,758738,288249,1046987
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,8628,669262,201363,870625
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,3988,752752,149684,902436
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885,1157962,679289,478673,4453,592458,157056,749514
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371,1889879,1239064,650815,45492,718847,660493,1379340
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,22411,1199479,406362,1605841
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,12050,1007255,248373,1255628
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,30438,909292,567042,1476334
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,19383,1069877,513113,1582990
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,6151,873486,214089,1087575
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267,1314561,859880,454681,10201,689137,264376,953513
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067,1320404,823886,496518,6667,590589,293504,884093
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,10081,783853,306982,1090835
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,8606,902997,341431,1244428
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,13763,907970,395900,1303870
555,KARNATAKA,Belgaum,4779661,2423063,2356598,3052032,1725548,1326484,2105668,1372422,733246,17560,962777,356198,1318975
556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,641388,472024,818081,511575,306506,3745,324799,165858,490657
557,KARNATAKA,Bijapur,2177331,1111022,1066309,1248268,730566,517702,927722,580111,347611,4987,396449,131041,527490
558,KARNATAKA,Bidar,1703300,870665,832635,1042673,597198,445475,702608,459050,243558,3971,287134,102269,389403
559,KARNATAKA,Raichur,1928812,964511,964301,979769,577213,402556,903413,530373,373040,5200,330446,125402,455848
560,KARNATAKA,Koppal,1389920,699926,689994,809085,468785,340300,654766,387974,266792,2135,272968,64681,337649
561,KARNATAKA,Gadag,1064570,537147,527423,700177,397178,302999,495722,310412,185310,3373,180066,111906,291972
562,KARNATAKA,Dharwad,1847023,937206,909817,1301664,711776,589888,784833,543776,241057,15013,199707,283397,483104
563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,582099,499807,608526,430565,177961,6129,334281,140511,474792
564,KARNATAKA,Haveri,1597668,819128,778540,1085443,603793,481650,730066,490731,239335,2456,315076,98488,413564
565,KARNATAKA,Bellary,2452595,1236954,1215641,1421621,813440,608181,1116880,703258,413622,9626,371604,251876,623480
566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,856587,513311,343276,5711,349704,97644,447348
567,KARNATAKA,Davanagere,1945497,986400,959097,1308540,720637,587903,875207,585639,289568,7320,354680,176011,530691
568,KARNATAKA,Shimoga,1752753,877415,875338,1263016,674938,588078,780598,534487,246111,8791,352444,201662,554106
569,KARNATAKA,Udupi,1177361,562131,615230,926429,465704,460725,513241,335399,177842,9070,269817,115572,385389
570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,438257,380088,565774,357889,207885,4510,311660,80766,392426
571,KARNATAKA,Tumkur,2678980,1350594,1328386,1813391,1006024,807367,1354646,837512,517134,7971,685443,204799,890242
572,KARNATAKA,Bangalore,9621551,5022661,4598890,7512276,4078041,3434235,4246927,3115361,1131566,430880,300576,2967384,3267960
573,KARNATAKA,Mandya,1805769,905085,900684,1149649,638668,510981,871408,575203,296205,3367,458867,103435,562302
574,KARNATAKA,Hassan,1776421,883667,892754,1225256,668836,556420,903580,560452,343128,4851,496103,132878,628981
575,KARNATAKA,Dakshina Kannada,2089649,1034714,1054935,1666323,864019,802304,997721,620903,376818,23305,332919,317373,650292
576,KARNATAKA,Kodagu,554519,274608,279911,412877,215302,197575,278938,172100,106838,3308,181182,31792,212974
577,KARNATAKA,Mysore,3001127,1511600,1489527,1962180,1063766,898414,1314268,921803,392465,28397,540596,380386,920982
578,KARNATAKA,Chamarajanagar,1020791,512231,508560,565279,312957,252322,481693,324326,157367,1334,262680,57200,319880
579,KARNATAKA,Gulbarga,2566326,1301755,1264571,1427368,828359,599009,1087028,680001,407027,9752,400704,199303,600007
580,KARNATAKA,Yadgir,1174271,590329,583942,510003,306751,203252,547696,317135,230561,1410,207787,55208,262995
581,KARNATAKA,Kolar,1536401,776396,760005,1016219,564110,452109,717872,454048,263824,5051,326567,151042,477609
582,KARNATAKA,Chikkaballapura,1255104,636437,618667,783222,442158,341064,639778,384452,255326,2672,315649,94053,409702
583,KARNATAKA,Bangalore Rural,990923,509172,481751,688749,385311,303438,459891,315499,144392,3729,231052,95410,326462
584,KARNATAKA,Ramanagara,1082636,548008,534628,674758,378461,296297,531459,344349,187110,2844,266950,84834,351784
585,GOA,North Goa,818008,416677,401331,663060,351738,311322,327658,239125,88533,23440,115859,209230,325089
586,GOA,South Goa,640537,322463,318074,502427,264085,238342,249590,180411,69179,17624,88620,162873,251493
587,LAKSHADWEEP,Lakshadweep,64473,33123,31350,52553,28023,24530,18753,15318,3435,327,5289,15953,21242
588,KERALA,Kasaragod,1307375,628613,678762,1037492,516476,521016,462998,325095,137903,10378,251641,166164,417805
589,KERALA,Kannur,2523003,1181446,1341557,2138434,1012956,1125478,824116,609377,214739,32653,306288,566191,872479
590,KERALA,Wayanad,817420,401684,415736,645585,328136,317449,340077,228639,111438,4712,266183,11805,277988
591,KERALA,Kozhikode,3086293,1470942,1615351,2615443,1266939,1348504,948981,752333,196648,36791,323793,666543,990336
592,KERALA,Malappuram,4112920,1960328,2152592,3311315,1597404,1713911,1062424,898157,164267,27909,634543,522586,1157129
593,KERALA,Palakkad,2809934,1359478,1450456,2239492,1122600,1116892,1042340,746121,296219,27162,665899,228442,894341
594,KERALA,Thrissur,3121200,1480763,1640437,2678548,1282261,1396287,1095727,789511,306216,56148,336748,715119,1051867
595,KERALA,Ernakulam,3282388,1619557,1662831,2855676,1425723,1429953,1249343,913249,336094,88737,369694,804997,1174691
596,KERALA,Idukki,1108974,552808,556166,923010,471881,451129,516363,331710,184653,8250,391610,20823,412433
597,KERALA,Kottayam,1974551,968289,1006262,1749798,861592,888206,735735,530322,205413,37849,481967,196194,678161
598,KERALA,Alappuzha,2127789,1013142,1114647,1852797,890552,962245,804471,536738,267733,28842,331419,392117,723536
599,KERALA,Pathanamthitta,1197412,561716,635696,1062553,499181,563372,392794,281854,110940,21015,414992,57848,472840
600,KERALA,Kollam,2635375,1246968,1388407,2240273,1074345,1165928,912025,644362,267663,31542,523715,401415,925130
601,KERALA,Thiruvananthapuram,3301427,1581678,1719749,2785408,1354857,1430551,1231669,864101,367568,71621,559293,609824,1169117
602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010,1538054,1103563,434491,75634,387237,732196,1119433
603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,1817297,1369302,447995,217368,0,1314125,1314125
604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294,3013382,1611461,1401921,1673814,1181308,492506,100322,438799,774705,1213504
605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1504355,1269573,1689330,1123874,565456,20623,653499,486801,1140300
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986,1626813,909803,717010,1238177,738995,499182,6445,563102,147061,710163
607,TAMIL NADU,Viluppuram,3458873,1740819,1718054,2195776,1234479,961297,1703249,1017383,685866,8472,808042,159272,967314
608,TAMIL NADU,Salem,3482056,1781571,1700485,2285562,1285107,1000455,1694160,1083797,610363,20660,572813,597539,1170352
609,TAMIL NADU,Namakkal,1726601,869280,857321,1176131,653312,522819,898245,531463,366782,8960,370357,257127,627484
610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,828300,664362,1195773,732083,463690,18604,411286,432398,843684
611,TAMIL NADU,The Nilgiris,735394,360143,375251,569647,299447,270200,349974,212172,137802,4561,112126,151979,264105
612,TAMIL NADU,Dindigul,2159775,1080938,1078837,1481834,816180,665654,1105155,665469,439686,9155,443818,269724,713542
613,TAMIL NADU,Karur,1064493,528184,536309,727044,401726,325318,543298,329034,214264,4915,212241,152420,364661
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006,2038981,1087765,951216,1213979,789206,424773,30046,452707,423020,875727
615,TAMIL NADU,Perambalur,565223,282157,283066,375823,208011,167812,299726,162639,137087,1507,155413,33179,188592
616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,269582,211022,359851,212547,147304,1749,223955,30322,254277
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959,1169880,749633,420247,15396,497429,260780,758209
618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,640916,572092,671994,461174,210820,5585,399016,118724,517740
619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,503085,443386,540168,369853,170315,4416,321331,86848,408179
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,944264,846734,974079,680483,293596,13495,479070,274302,753372
621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,608776,501769,761693,471099,290594,4494,399712,104229,503941
622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,526304,433440,620171,391305,228866,5773,309224,143193,452417
623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1223810,1049620,1354632,902704,451928,34097,417718,592723,1010441
624,TAMIL NADU,Theni,1245899,625683,620216,870080,479403,390677,591642,368900,222742,4667,189328,221295,410623
625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,760375,638413,950158,579111,371047,10219,363782,370942,734724
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,536487,442459,602977,392751,210226,5172,290478,126761,417239
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155,1349697,703106,646591,748095,503727,244368,11455,336078,300661,636739
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321,2273457,1210710,1062747,1436454,876175,560279,19070,547962,516705,1064667
629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,780541,768197,679620,524629,154991,15673,104253,493788,598041
630,TAMIL NADU,Dharmapuri,1506843,774303,732540,917709,527599,390110,751170,446057,305113,3651,396819,91107,487926
631,TAMIL NADU,Krishnagiri,1879809,960232,919577,1187958,667062,520896,877779,561634,316145,9619,437988,142552,580540
632,TAMIL NADU,Coimbatore,3458045,1729297,1728748,2635907,1394790,1241117,1567950,1083125,484825,63273,284795,884957,1169752
633,TAMIL NADU,Tiruppur,2479052,1246159,1232893,1760566,959623,800943,1266137,819783,446354,17181,356886,538022,894908
634,PONDICHERRY,Yanam,55626,27301,28325,39274,19919,19355,16760,14047,2713,207,0,15519,15519
635,PONDICHERRY,PONDICHERRY,950289,468258,482031,726649,380946,345703,348105,256652,91453,15437,87296,203741,291037
636,PONDICHERRY,Mahe,41816,19143,22673,36470,16610,19860,11802,9093,2709,574,0,12110,12110
637,PONDICHERRY,Karaikal,200222,97809,102413,154916,79903,75013,68301,53139,15162,1868,35618,33715,69333
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935,17125,12714,4411,57,15958,0,15958
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,50736,78683,43186,35497,38579,30612,7967,388,39091,1094,40185
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,110859,190266,105794,84472,96831,77563,19268,2789,34901,50631,85532
